date;ticker;contract_position;maturity;opening_contracts;closing_contracts;trading_number;trading_contracts;volume;oscilation;open;low;high;mean;close;adjustment;points_delta;last_buy;last_sell
02/01/1995;IND;1;G95;70527;71391;1678;22361;200385410;45000;44100;45500;44807;44900;44596;1;462;0;0
03/01/1995;IND;1;G95;71391;72816;2785;42830;377438220;45500;42700;45700;44062;42900;42986;3,6;1610;0;0
04/01/1995;IND;1;G95;72816;73041;3547;58580;476556220;42000;39500;42000;40676;41000;40779;5,1;2207;0;0
05/01/1995;IND;1;G95;73041;76085;3483;58435;481681800;41300;40300;42000;41215;41800;41375;1,5;596;0;0
06/01/1995;IND;1;G95;76085;70950;3659;62825;510297550;41500;38400;42300;40613;38700;38986;5,8;2389;0;0
09/01/1995;IND;1;G95;70950;72455;3247;49130;366670400;37800;36000;38800;37316;36700;36667;5,9;2319;0;0
10/01/1995;IND;1;G95;72455;74111;4701;78640;543529850;36600;31800;37400;34558;33100;32917;10,2;3750;0;0
11/01/1995;IND;1;G95;74111;67990;4652;84020;553824000;33000;30900;35000;32958;35000;34713;5,5;1796;0;0
12/01/1995;IND;1;G95;67990;64797;4115;73532;540288900;36000;35700;38200;36738;38100;37683;8,6;2970;0;0
13/01/1995;IND;1;G95;64797;55566;4116;68745;541995890;38500;37400;41700;39421;41300;41119;9,1;3436;0;0
16/01/1995;IND;1;G95;55566;56341;4037;63823;503366300;40000;38200;41200;39435;41100;40668;1,1;451;0;0
17/01/1995;IND;1;G95;56341;56630;4682;71770;604421250;40500;39700;43300;42108;42200;42346;4,1;1678;0;0
18/01/1995;IND;1;G95;56630;57445;3299;47985;397260820;41500;40400;42200;41394;40500;40838;3,6;1508;0;0
19/01/1995;IND;1;G95;57445;59130;3600;53890;415334750;40000;37000;40300;38535;37500;37557;8;3281;0;0
19/01/1995;IND;2;J95;0;0;0;0;0;0;0;0;0;0;0;0;0;38550;44950
20/01/1995;IND;1;G95;59130;56267;3522;59200;435143400;36000;35500;38800;36752;38800;38093;1,4;536;0;0
23/01/1995;IND;1;G95;56267;56004;4049;57600;428692510;38000;36000;38400;37213;37400;37705;1;388;0;0
24/01/1995;IND;1;G95;56004;56706;3386;49440;379489360;39000;37600;39200;38379;38400;38284;1,5;579;0;0
26/01/1995;IND;1;G95;56706;55738;2756;44570;350321620;39000;38600;40000;39300;39100;39073;2,1;789;0;0
27/01/1995;IND;1;G95;55738;55353;3337;53174;404204160;39500;36600;39700;38008;37300;37130;5;1943;0;0
30/01/1995;IND;1;G95;55353;64415;4050;72805;505686590;36000;33200;36000;34729;35600;35534;4,3;1596;0;0
31/01/1995;IND;1;G95;64415;58000;3553;63995;475471130;35500;34700;39600;37149;39400;39299;10,6;3765;0;0
01/02/1995;IND;1;G95;58000;56218;3733;58313;471929800;40500;39400;41300;40465;40500;40222;2,3;923;0;0
02/02/1995;IND;1;G95;56218;56122;3985;60505;473793750;40000;38400;40000;39153;39600;39561;1,6;661;0;0
