date;ticker;contract_position;maturity;opening_contracts;closing_contracts;trading_number;trading_contracts;volume;open;low;high;mean;close;adjustment;points_delta;last_buy;last_sell
19/09/2008;CCM;1;H09;0;100;2;100;1129500;25,1;25,1;25,1;25,1;25,1;25,1;0;24,95;25,1
19/09/2008;CCM;2;K09;0;101;5;103;1165545;25;25;25,15;25,15;25,1;25,15;0,15;0;25,1
19/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,5;0;0;26,5
19/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,2;0;0;0
22/09/2008;CCM;1;H09;100;110;2;10;112950;25,1;25,1;25,1;25,1;25,1;25,1;0;25,1;25,9
22/09/2008;CCM;2;K09;101;111;2;10;113175;25,15;25,15;25,15;25,15;25,15;25,15;0;25,15;0
22/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,5;0;0;0
22/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,2;0;0;0
23/09/2008;CCM;1;H09;110;110;0;0;0;0;0;0;0;0;25,1;0;0;0
23/09/2008;CCM;2;K09;111;111;0;0;0;0;0;0;0;0;25,15;0;25,1;25,15
23/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,5;0;0;0
23/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,2;0;0;0
24/09/2008;CCM;1;H09;110;110;0;0;0;0;0;0;0;0;25,2;0,1;25,2;25,3
24/09/2008;CCM;2;K09;111;111;0;0;0;0;0;0;0;0;25,25;0,1;25,15;25,35
24/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,6;0,1;0;0
24/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,3;0,1;0;0
25/09/2008;CCM;1;H09;110;110;0;0;0;0;0;0;0;0;25,1;0,1;25,1;25,5
25/09/2008;CCM;2;K09;111;112;1;1;11295;25,1;25,1;25,1;25,1;25,1;25,1;0,15;25;25,2
25/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,5;0,1;0;0
25/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,2;0,1;0;0
26/09/2008;CCM;1;H09;110;160;2;50;565875;25,15;25,15;25,15;25,15;25,15;25,15;0,05;25,1;25,25
26/09/2008;CCM;2;K09;112;161;6;71;803475;25,15;25;25,15;25,15;25,15;25,15;0,05;25;25,3
26/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,55;0,05;0;0
26/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,25;0,05;0;0
29/09/2008;CCM;1;H09;160;160;0;0;0;0;0;0;0;0;25,1;0,05;24,8;25,2
29/09/2008;CCM;2;K09;161;161;0;0;0;0;0;0;0;0;25,1;0,05;24,95;25,15
29/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,5;0,05;0;0
29/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,2;0,05;0;0
30/09/2008;CCM;1;H09;160;225;2;85;956250;25;25;25;25;25;25;0,1;25;0
30/09/2008;CCM;2;K09;161;237;7;86;967950;25;25;25,1;25,01;25,1;25,1;0;24,9;25,1
30/09/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,5;0;0;0
30/09/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,2;0;0;0
01/10/2008;CCM;1;H09;225;225;0;0;0;0;0;0;0;0;25;0;0;0
01/10/2008;CCM;2;K09;237;237;0;0;0;0;0;0;0;0;25,1;0;24,8;25,1
01/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,5;0;0;0
01/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,2;0;0;0
02/10/2008;CCM;1;H09;225;226;1;1;11295;25,1;25,1;25,1;25,1;25,1;24,95;0,05;24;25,5
02/10/2008;CCM;2;K09;237;237;0;0;0;0;0;0;0;0;25;0,1;24;25
02/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;26,4;0,1;0;0
02/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;26,1;0,1;0;0
03/10/2008;CCM;1;H09;226;231;3;12;129600;24;24;24;24;24;24;0,95;23,8;24,5
03/10/2008;CCM;2;K09;237;237;1;5;53550;23,8;23,8;23,8;23,8;23,8;23,8;1,2;0;24
03/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;25,25;1,15;24;0
03/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;24,95;1,15;0;0
06/10/2008;CCM;1;H09;231;231;1;5;52200;23,2;23,2;23,2;23,2;23,2;23,2;0,8;23,2;23,5
06/10/2008;CCM;2;K09;237;237;1;5;51300;22,8;22,8;22,8;22,8;22,8;22,8;1;22,61;23,5
06/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;24,2;1,05;23,4;0
06/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,9;1,05;0;0
07/10/2008;CCM;1;H09;231;158;13;282;2895300;23,2;22,7;23,2;22,82;22,71;22,71;0,49;22,71;0
07/10/2008;CCM;2;K09;237;92;5;165;1684462;22,6;22,5;22,7;22,69;22,57;22,57;0,23;22,57;0
07/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;23,95;0,25;22,7;0
07/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,65;0,25;0;0
08/10/2008;CCM;1;H09;158;117;9;118;1215675;22,71;22,5;23;22,89;22,5;22,5;0,21;22,55;22,8
08/10/2008;CCM;2;K09;92;276;18;271;2796133;22,65;22;23,2;22,93;22;22;0,57;22;23
08/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;23,45;0,5;0;0
08/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,2;0,45;0;0
09/10/2008;CCM;1;H09;117;117;1;5;51075;22,7;22,7;22,7;22,7;22,7;22,7;0,2;0;0
09/10/2008;CCM;2;K09;276;362;11;106;1096717;22,8;22,8;23,1;22,99;22,8;22,8;0,8;22,8;0
09/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;24;0,55;0;0
09/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,8;0,6;0;0
10/10/2008;CCM;1;H09;117;117;1;2;19413;21,57;21,57;21,57;21,57;21,57;22,4;0,3;0;0
10/10/2008;CCM;2;K09;362;382;3;22;226494;23;21,66;23;22,88;21,66;22,37;0,43;23;0
10/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;23,55;0,45;0;0
10/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,35;0,45;0;0
13/10/2008;CCM;1;H09;117;118;1;1;10129;22,51;22,51;22,51;22,51;22,51;22,51;0,11;0;0
13/10/2008;CCM;2;K09;382;383;3;35;351000;22,4;22;22,4;22,29;22,4;22,4;0,03;22,6;0
13/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;23,58;0,03;22,7;0
13/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,38;0,03;0;0
14/10/2008;CCM;1;H09;118;117;2;4;39870;22,3;22;22,3;22,15;22;22;0,51;22,1;22,4
14/10/2008;CCM;2;K09;383;389;7;49;496080;22,5;22,4;22,5;22,5;22,4;22,6;0,2;22,6;23
14/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;23,8;0,22;22,6;0
14/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,6;0,22;0;0
15/10/2008;CCM;1;H09;117;117;0;0;0;0;0;0;0;0;22,02;0,02;22,02;0
15/10/2008;CCM;2;K09;389;391;4;22;220545;22,4;22,2;22,4;22,28;22,3;22,3;0,3;22,3;0
15/10/2008;CCM;3;N09;0;0;0;0;0;0;0;0;0;0;23,55;0;22,3;0
15/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;23,35;0;0;0
16/10/2008;CCM;1;H09;117;123;2;11;107910;21,8;21,8;21,8;21,8;21,8;21,8;0,22;0;0
16/10/2008;CCM;2;K09;391;420;7;45;441697;21,8;21,74;21,9;21,81;21,74;21,8;0,5;0;0
16/10/2008;CCM;3;N09;0;20;2;20;198000;22;22;22;22;22;22;1,55;0;0
16/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;22,5;0,85;0;0
17/10/2008;CCM;1;H09;123;127;1;5;48825;21,7;21,7;21,7;21,7;21,7;21,7;0,1;21,7;0
17/10/2008;CCM;2;K09;420;424;4;27;264870;21,8;21,8;21,8;21,8;21,8;21,8;0;21,8;0
17/10/2008;CCM;3;N09;20;20;0;0;0;0;0;0;0;0;22;0;22;0
17/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;22,5;0;0;0
20/10/2008;CCM;1;H09;127;129;1;2;19620;21,8;21,8;21,8;21,8;21,8;21,8;0,1;21,8;22
20/10/2008;CCM;2;K09;424;430;3;15;148050;21,8;21,8;22;21,93;22;21,93;0,13;21,8;22,1
20/10/2008;CCM;3;N09;20;20;0;0;0;0;0;0;0;0;22,1;0,1;22,1;22,5
20/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;22,6;0,1;0;0
21/10/2008;CCM;1;H09;129;130;1;1;9697;21,55;21,55;21,55;21,55;21,55;21,55;0,25;21,5;21,6
21/10/2008;CCM;2;K09;430;450;5;37;360855;21,8;21,6;21,8;21,67;21,6;21,6;0,33;21,5;21,65
21/10/2008;CCM;3;N09;20;10;1;10;98550;21,9;21,9;21,9;21,9;21,9;21,9;0,2;0;21,9
21/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;22,4;0,2;0;0
22/10/2008;CCM;1;H09;130;126;1;5;47250;21;21;21;21;21;21;0,55;0;0
22/10/2008;CCM;2;K09;450;467;4;23;218142;21,05;21,05;21,11;21,08;21,11;21,08;0,52;21,1;0
22/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;21,4;0,5;21,25;22
22/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,9;0,5;0;0
23/10/2008;CCM;1;H09;126;151;3;25;232875;20,7;20,7;20,7;20,7;20,7;20,7;0,3;0;0
23/10/2008;CCM;2;K09;467;488;4;31;290160;20,7;20,7;20,9;20,8;20,8;20,78;0,3;0;0
23/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;21,1;0,3;20,81;22
23/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,6;0,3;0;0
24/10/2008;CCM;1;H09;151;159;4;8;73237;20,5;20,25;20,5;20,34;20,25;20,25;0,45;20,5;0
24/10/2008;CCM;2;K09;488;500;5;40;375025;20,3;20,3;21,23;20,83;20,3;20,3;0,48;20,3;20,35
24/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;20,65;0,45;0;21
24/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,15;0,45;0;0
27/10/2008;CCM;1;H09;159;171;2;17;155025;20,5;19,7;20,5;20,26;19,7;19,7;0,55;19,55;0
27/10/2008;CCM;2;K09;500;548;8;50;450495;20,5;19,7;20,5;20,02;20,05;19,82;0,48;20,05;0
27/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;20,16;0,49;0;0
27/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;20,65;0,5;0;0
28/10/2008;CCM;1;H09;171;171;1;5;45000;20;20;20;20;20;20;0,3;19,9;20,2
28/10/2008;CCM;2;K09;548;561;8;43;388260;20,1;20;20,1;20,07;20,1;20,05;0,23;20,1;20,13
28/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;20,4;0,24;0;0
28/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;20,89;0,24;0;0
29/10/2008;CCM;1;H09;171;171;1;5;45000;20;20;20;20;20;20;0;19,9;0
29/10/2008;CCM;2;K09;561;587;7;56;507420;20,15;20,1;20,15;20,14;20,15;20,13;0,08;20,11;0
29/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;20,5;0,1;0;0
29/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21;0,11;0;0
30/10/2008;CCM;1;H09;171;191;3;35;321750;20,6;19,9;20,6;20,43;19,9;19,9;0,1;19,9;20
30/10/2008;CCM;2;K09;587;582;6;45;410805;20,35;20,15;20,35;20,29;20,25;20,21;0,08;20,21;0
30/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;20,58;0,08;0;0
30/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,08;0,08;0;0
31/10/2008;CCM;1;H09;191;191;2;4;36787;20,5;20,25;20,5;20,44;20,25;19,95;0,05;19,9;20
31/10/2008;CCM;2;K09;582;587;2;40;360337;20;20;20,15;20,02;20,15;20,3;0,09;20,3;0
31/10/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;20,7;0,12;0;0
31/10/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,2;0,12;0;0
03/11/2008;CCM;1;H09;191;196;1;5;45675;20,3;20,3;20,3;20,3;20,3;20,3;0,35;20,3;0
03/11/2008;CCM;2;K09;587;587;4;25;237150;20,9;20,9;21,2;21,08;21,2;21,2;0,9;21,21;21,3
03/11/2008;CCM;3;N09;10;10;0;0;0;0;0;0;0;0;21,3;0,6;21,3;0
03/11/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,81;0,61;0;0
04/11/2008;CCM;1;H09;196;191;4;10;93577;21;20,4;21;20,79;20,7;20,55;0,25;0;0
04/11/2008;CCM;2;K09;587;601;10;52;493425;21,2;21;21,2;21,09;21;21,2;0;21,2;0
04/11/2008;CCM;3;N09;10;20;1;10;95400;21,2;21,2;21,2;21,2;21,2;21,4;0,1;21,4;0
04/11/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,9;0,09;0;0
05/11/2008;CCM;1;H09;191;193;2;5;45450;20,2;20,2;20,2;20,2;20,2;20,2;0,35;20,2;0
05/11/2008;CCM;2;K09;601;601;2;20;192825;21,4;21,4;21,45;21,43;21,45;21,26;0,06;21,26;0
05/11/2008;CCM;3;N09;20;20;0;0;0;0;0;0;0;0;21,45;0,05;21,4;0
05/11/2008;CCM;4;U09;0;0;0;0;0;0;0;0;0;0;21,95;0,05;0;0
06/11/2008;CCM;1;H09;193;203;2;10;89100;19,8;19,8;19,8;19,8;19,8;19,8;0,4;19,8;20
06/11/2008;CCM;2;K09;601;653;10;89;843097;21,2;21;21,2;21,05;21,05;21,04;0,22;21;21,3
