time,open,high,low,close,tick_volume,spread,real_volume,ticker
2017-11-17,180.52,180.52,179.88,180.2,157,1,897,BGI$
2017-11-21,179.88,180.07,179.5,179.76,179,1,863,BGI$
2017-11-22,179.95,180.45,179.95,180.2,276,1,1700,BGI$
2017-11-23,179.88,181.09,179.88,180.77,344,1,1852,BGI$
2017-11-24,180.39,181.15,180.14,180.96,362,1,2540,BGI$
2017-11-27,181.21,181.47,181.15,181.28,160,1,1251,BGI$
2017-11-28,182.04,182.04,181.72,181.78,147,1,1203,BGI$
2017-11-29,181.97,182.16,181.85,182.16,230,1,1412,BGI$
2017-11-30,181.61,182.1,179.4,180.99,306,1,1301,BGI$
2017-12-01,180.32,180.69,179.64,180.56,223,1,614,BGI$
2017-12-04,180.26,182.1,180.13,181.85,242,1,654,BGI$
2017-12-05,181.79,182.47,181.61,181.61,162,1,614,BGI$
2017-12-06,181.24,182.35,181.18,182.04,315,1,2157,BGI$
2017-12-07,181.79,182.35,181.24,181.49,170,1,856,BGI$
2017-12-08,181.67,181.67,180.01,181.42,421,1,2090,BGI$
2017-12-11,180.93,180.93,180.07,180.5,129,1,367,BGI$
2017-12-12,180.01,180.62,179.7,180.62,164,1,659,BGI$
2017-12-13,180.26,181.06,180.01,181.06,186,1,577,BGI$
2017-12-14,180.62,180.99,180.26,180.38,138,1,1150,BGI$
2017-12-15,180.69,181.12,180.32,181.06,105,1,481,BGI$
2017-12-18,180.99,181.12,180.69,180.99,102,1,387,BGI$
2017-12-19,181.12,181.61,180.93,181.42,121,1,635,BGI$
2017-12-20,180.99,181.12,180.44,181.12,143,1,688,BGI$
2017-12-21,180.99,181.18,180.62,181.06,139,1,1345,BGI$
2017-12-22,180.75,180.99,180.62,180.81,39,1,283,BGI$
2017-12-26,180.81,180.81,180.44,180.62,29,1,121,BGI$
2017-12-27,180.13,180.5,180.13,180.5,46,1,500,BGI$
2017-12-28,180.5,181.42,180.5,180.99,83,1,240,BGI$
2018-01-02,180.93,181.48,180.75,181.11,91,1,599,BGI$
2018-01-03,180.56,181.23,180.44,180.87,102,1,306,BGI$
2018-01-04,180.93,181.05,179.65,179.89,249,1,978,BGI$
2018-01-05,179.4,179.77,179.28,179.47,151,1,424,BGI$
2018-01-08,179.71,179.71,179.1,179.28,84,1,213,BGI$
2018-01-09,179.4,179.4,178.73,179.04,171,1,916,BGI$
2018-01-10,178.67,179.65,178.61,179.4,171,1,867,BGI$
2018-01-11,179.65,179.65,179.16,179.34,134,1,392,BGI$
2018-01-12,179.71,179.71,178.79,179.1,134,1,715,BGI$
2018-01-15,178.92,179.04,178.86,178.92,57,1,179,BGI$
2018-01-16,178.79,178.79,178.31,178.31,162,1,736,BGI$
2018-01-17,178.67,178.73,178.06,178.06,293,1,1116,BGI$
2018-01-18,178.18,178.18,177.21,177.45,172,1,721,BGI$
2018-01-19,177.64,177.7,177.09,177.45,93,1,288,BGI$
2018-01-22,177.88,178.31,177.88,178.18,51,1,425,BGI$
2018-01-23,178.67,179.34,178.67,178.79,304,1,2588,BGI$
2018-01-24,178.37,178.73,178.06,178.12,120,1,722,BGI$
2018-01-26,177.82,178.18,177.58,177.82,121,1,745,BGI$
2018-01-29,177.58,177.76,177.45,177.64,36,1,330,BGI$
2018-01-30,177.82,177.82,177.58,177.76,82,1,174,BGI$
2018-01-31,177.21,177.76,176.78,177.76,145,1,546,BGI$
2018-02-01,178.06,178.37,177.15,177.39,97,1,382,BGI$
2018-02-02,176.72,177.88,176.59,177.88,82,1,1335,BGI$
2018-02-05,178.06,178.06,177.21,177.57,95,1,256,BGI$
2018-02-06,177.45,178.31,177.45,177.51,130,1,1060,BGI$
2018-02-07,178.0,178.25,177.33,177.94,90,1,421,BGI$
2018-02-08,177.64,178.37,177.64,178.06,108,1,872,BGI$
2018-02-09,178.06,178.62,177.94,178.13,60,1,409,BGI$
2018-02-14,178.19,178.31,178.0,178.0,21,1,112,BGI$
2018-02-15,178.13,178.37,178.13,178.13,22,1,73,BGI$
2018-02-16,177.57,178.62,177.51,178.0,117,1,373,BGI$
2018-02-19,178.31,178.37,178.06,178.13,29,1,70,BGI$
2018-02-20,178.13,179.48,178.13,179.48,157,1,733,BGI$
2018-02-21,179.42,179.42,177.39,178.49,131,1,695,BGI$
2018-02-22,178.62,178.62,177.51,177.88,125,1,261,BGI$
2018-02-23,177.63,178.06,177.57,177.94,54,1,222,BGI$
2018-02-26,178.13,178.62,178.0,178.31,37,1,131,BGI$
