,date,ticker,position_contract,maturity,opening_contracts,closing_contracts,trading_number,trading_contracts,volume,open,low,high,mean,close,adjustment,points_delta,last_buy,last_sell
0,2012-01-02,BGI,1,F12,2.895,3.017,148,409,13.255.562,"98,75","98,00","98,75","98,21","98,19","98,13","0,64","0,00","0,00"
1,2012-01-02,BGI,2,G12,152,162,7,11,354.403,"98,00","97,50","98,00","97,63","97,50","97,50","0,80","0,00","0,00"
2,2012-01-02,BGI,3,H12,33,31,1,1,31.861,"96,55","96,55","96,55","96,55","96,55","96,55","0,68","0,00","0,00"
3,2012-01-02,BGI,4,J12,1,1,0,0,0,"0,00","0,00","0,00","0,00","0,00","95,91","0,34","0,00","0,00"
4,2012-01-02,BGI,5,K12,137,138,1,1,31.531,"95,55","95,55","95,55","95,55","95,55","95,55","0,23","0,00","0,00"
5,2012-01-02,BGI,6,M12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","95,76","0,23","0,00","0,00"
6,2012-01-02,BGI,7,N12,40,40,0,0,0,"0,00","0,00","0,00","0,00","0,00","97,47","0,24","0,00","0,00"
7,2012-01-02,BGI,8,Q12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","98,42","0,28","0,00","0,00"
8,2012-01-02,BGI,9,U12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","99,50","0,35","0,00","0,00"
9,2012-01-02,BGI,10,V12,2.322,2.323,1,1,33.115,"100,35","100,35","100,35","100,35","100,35","100,35","0,39","0,00","0,00"
10,2012-01-02,BGI,11,X12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","100,39","0,39","0,00","0,00"
11,2012-01-02,BGI,12,Z12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","96,14","0,38","0,00","0,00"
15,2012-01-03,BGI,1,F12,3.017,3.013,443,1.350,43.694.580,"98,12","97,51","98,90","98,08","98,79","98,69","0,56","0,00","0,00"
16,2012-01-03,BGI,2,G12,162,171,7,15,483.634,"97,50","97,50","97,80","97,70","97,80","97,80","0,30","0,00","0,00"
17,2012-01-03,BGI,3,H12,31,34,2,4,127.726,"96,80","96,65","96,80","96,76","96,65","96,65","0,10","0,00","0,00"
18,2012-01-03,BGI,4,J12,1,1,0,0,0,"0,00","0,00","0,00","0,00","0,00","96,18","0,27","0,00","0,00"
19,2012-01-03,BGI,5,K12,138,135,3,7,220.977,"95,55","95,55","95,81","95,66","95,81","95,81","0,26","0,00","0,00"
20,2012-01-03,BGI,6,M12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","96,04","0,28","0,00","0,00"
21,2012-01-03,BGI,7,N12,40,40,0,0,0,"0,00","0,00","0,00","0,00","0,00","97,50","0,03","0,00","0,00"
22,2012-01-03,BGI,8,Q12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","98,65","0,23","0,00","0,00"
23,2012-01-03,BGI,9,U12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","99,94","0,44","0,00","0,00"
24,2012-01-03,BGI,10,V12,2.323,2.385,6,64,2.132.229,"100,10","100,10","101,00","100,96","101,00","101,00","0,65","0,00","0,00"
25,2012-01-03,BGI,11,X12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","101,04","0,65","0,00","0,00"
26,2012-01-03,BGI,12,Z12,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00","96,77","0,63","0,00","0,00"
30,2012-01-04,BGI,1,F12,3.013,3.145,513,1.358,44.104.434,"98,84","97,95","99,10","98,42","98,11","98,04","0,65","0,00","0,00"
31,2012-01-04,BGI,2,G12,171,191,19,44,1.419.610,"98,00","97,40","98,00","97,77","97,40","97,35","0,45","0,00","0,00"
32,2012-01-04,BGI,3,H12,34,34,0,0,0,"0,00","0,00","0,00","0,00","0,00","96,65","0,00","0,00","0,00"
33,2012-01-04,BGI,4,J12,1,1,0,0,0,"0,00","0,00","0,00","0,00","0,00","96,01","0,17","0,00","0,00"
34,2012-01-04,BGI,5,K12,135,141,4,7,221.331,"96,00","95,70","96,00","95,81","95,70","95,70","0,11","0,00","0,00"
