date;close;open;high;low
31/12/1991;1000;1000;1000;1000
01/01/1992;1000;1000;1000;1000
02/01/1992;996.77;996.77;996.77;996.77
03/01/1992;996.18;996.18;996.18;996.18
06/01/1992;1013.48;1013.48;1013.48;1013.48
07/01/1992;1013.51;1013.51;1013.51;1013.51
08/01/1992;1012.02;1012.02;1012.02;1012.02
09/01/1992;990;990;990;990
10/01/1992;982.71;982.71;982.71;982.71
13/01/1992;987.14;987.14;987.14;987.14
14/01/1992;982.55;982.55;982.55;982.55
15/01/1992;982.67;982.67;982.67;982.67
16/01/1992;986.02;986.02;986.02;986.02
17/01/1992;1000.97;1000.97;1000.97;1000.97
20/01/1992;1001.35;1001.35;1001.35;1001.35
21/01/1992;1012.82;1012.82;1012.82;1012.82
22/01/1992;1005.54;1005.54;1005.54;1005.54
23/01/1992;992.92;992.92;992.92;992.92
24/01/1992;998.51;998.51;998.51;998.51
27/01/1992;996.63;996.63;996.63;996.63
28/01/1992;1005.86;1005.86;1005.86;1005.86
29/01/1992;1000.79;1000.79;1000.79;1000.79
30/01/1992;988.78;988.78;988.78;988.78
31/01/1992;993.27;993.27;993.27;993.27
03/02/1992;1000.27;1000.27;1000.27;1000.27
04/02/1992;1003.45;1003.45;1003.45;1003.45
05/02/1992;1012.53;1012.53;1012.53;1012.53
06/02/1992;1014.95;1014.95;1014.95;1014.95
07/02/1992;1022.38;1022.38;1022.38;1022.38
10/02/1992;1013.17;1013.17;1013.17;1013.17
11/02/1992;1003.95;1003.95;1003.95;1003.95
12/02/1992;992.76;992.76;992.76;992.76
13/02/1992;987.69;987.69;987.69;987.69
14/02/1992;984.51;984.51;984.51;984.51
17/02/1992;987.06;987.06;987.06;987.06
18/02/1992;982.62;982.62;982.62;982.62
19/02/1992;982.3;982.3;982.3;982.3
20/02/1992;989.42;989.42;989.42;989.42
21/02/1992;987.8;987.8;987.8;987.8
24/02/1992;994.83;994.83;994.83;994.83
25/02/1992;988.62;988.62;988.62;988.62
26/02/1992;1001.55;1001.55;1001.55;1001.55
27/02/1992;1012.58;1012.58;1012.58;1012.58
28/02/1992;1011.03;1011.03;1011.03;1011.03
02/03/1992;1007.31;1007.31;1007.31;1007.31
03/03/1992;1002.69;1002.69;1002.69;1002.69
04/03/1992;996.21;996.21;996.21;996.21
05/03/1992;991.31;991.31;991.31;991.31
06/03/1992;988.23;988.23;988.23;988.23
09/03/1992;992.83;992.83;992.83;992.83
10/03/1992;991.57;991.57;991.57;991.57
11/03/1992;990.61;990.61;990.61;990.61
12/03/1992;976.9;976.9;976.9;976.9
13/03/1992;979.16;979.16;979.16;979.16
16/03/1992;975.13;975.13;975.13;975.13
17/03/1992;989.36;989.36;989.36;989.36
18/03/1992;985.58;985.58;985.58;985.58
19/03/1992;973.01;973.01;973.01;973.01
20/03/1992;973.82;973.82;973.82;973.82
23/03/1992;967.32;967.32;967.32;967.32
24/03/1992;968.64;968.64;968.64;968.64
25/03/1992;979.24;979.24;979.24;979.24
26/03/1992;975.54;975.54;975.54;975.54
27/03/1992;984.15;984.15;984.15;984.15
30/03/1992;982.33;982.33;982.33;982.33
31/03/1992;984.85;984.85;984.85;984.85
01/04/1992;976.45;976.45;976.45;976.45
02/04/1992;985.6;985.6;985.6;985.6
03/04/1992;995.51;995.51;995.51;995.51
06/04/1992;1004.79;1004.79;1004.79;1004.79
07/04/1992;1008.5;1008.5;1008.5;1008.5
08/04/1992;987.37;987.37;987.37;987.37
09/04/1992;998.29;998.29;998.29;998.29
10/04/1992;998.25;998.25;998.25;998.25
13/04/1992;987.26;987.26;987.26;987.26
14/04/1992;989.06;989.06;989.06;989.06
15/04/1992;992.77;992.77;992.77;992.77
16/04/1992;999.91;999.91;999.91;999.91
17/04/1992;999.91;999.91;999.91;999.91
20/04/1992;992.07;992.07;992.07;992.07
21/04/1992;991.17;991.17;991.17;991.17
22/04/1992;995.92;995.92;995.92;995.92
23/04/1992;995.27;995.27;995.27;995.27
24/04/1992;1001.82;1001.82;1001.82;1001.82
27/04/1992;1001.51;1001.51;1001.51;1001.51
28/04/1992;1002.08;1002.08;1002.08;1002.08
29/04/1992;1004.13;1004.13;1004.13;1004.13
30/04/1992;1004.53;1004.53;1004.53;1004.53
01/05/1992;1011.29;1011.29;1011.29;1011.29
04/05/1992;1008.69;1008.69;1008.69;1008.69
05/05/1992;1013.51;1013.51;1013.51;1013.51
06/05/1992;1025.16;1025.16;1025.16;1025.16
07/05/1992;1020.4;1020.4;1020.4;1020.4
08/05/1992;1019.18;1019.18;1019.18;1019.18
11/05/1992;1027.88;1027.88;1027.88;1027.88
12/05/1992;1033.14;1033.14;1033.14;1033.14
13/05/1992;1039.88;1039.88;1039.88;1039.88
14/05/1992;1031.2;1031.2;1031.2;1031.2
15/05/1992;1027.8;1027.8;1027.8;1027.8
18/05/1992;1027.8;1027.8;1027.8;1027.8
19/05/1992;1051.35;1051.35;1051.35;1051.35
20/05/1992;1045.96;1045.96;1045.96;1045.96
21/05/1992;1038.77;1038.77;1038.77;1038.77
22/05/1992;1044.18;1044.18;1044.18;1044.18
25/05/1992;1047.2;1047.2;1047.2;1047.2
26/05/1992;1051.23;1051.23;1051.23;1051.23
27/05/1992;1029.59;1029.59;1029.59;1029.59
28/05/1992;1037.77;1037.77;1037.77;1037.77
29/05/1992;1056.56;1056.56;1056.56;1056.56
01/06/1992;1053.07;1053.07;1053.07;1053.07
02/06/1992;1052.5;1052.5;1052.5;1052.5
03/06/1992;1050.15;1050.15;1050.15;1050.15
04/06/1992;1048.88;1048.88;1048.88;1048.88
05/06/1992;1051.55;1051.55;1051.55;1051.55
08/06/1992;1051.36;1051.36;1051.36;1051.36
09/06/1992;1046.24;1046.24;1046.24;1046.24
10/06/1992;1042.39;1042.39;1042.39;1042.39
11/06/1992;1044.9;1044.9;1044.9;1044.9
12/06/1992;1045.87;1045.87;1045.87;1045.87
15/06/1992;1045.23;1045.23;1045.23;1045.23
16/06/1992;1054.2;1054.2;1054.2;1054.2
