date;close;open;high;low
31/12/1993;93.68;;;
03/01/1994;93.68;;;
04/01/1994;93.77;;;
05/01/1994;94.15;;;
06/01/1994;94.21;;;
07/01/1994;94.9;;;
10/01/1994;95.7;;;
11/01/1994;95.22;;;
12/01/1994;95.03;;;
13/01/1994;94.26;;;
14/01/1994;95.46;;;
17/01/1994;95.25;;;
18/01/1994;95.55;;;
19/01/1994;96.35;;;
20/01/1994;96.44;;;
21/01/1994;96.7;;;
24/01/1994;95.21;;;
25/01/1994;95.53;;;
26/01/1994;96.39;;;
27/01/1994;96.87;;;
28/01/1994;97.3;;;
31/01/1994;99.63;;;
01/02/1994;100.29;;;
02/02/1994;100.16;;;
03/02/1994;99.77;;;
04/02/1994;98.9;;;
07/02/1994;97.58;;;
08/02/1994;97.85;;;
09/02/1994;97.79;;;
10/02/1994;97.45;;;
11/02/1994;97.45;;;
14/02/1994;97.8;;;
15/02/1994;98.08;;;
16/02/1994;98.14;;;
17/02/1994;97.78;;;
18/02/1994;97.6;;;
21/02/1994;96.82;;;
22/02/1994;97.32;;;
23/02/1994;97.55;;;
24/02/1994;97.01;;;
25/02/1994;97.44;;;
28/02/1994;98.35;;;
01/03/1994;97.85;;;
02/03/1994;97.1;;;
03/03/1994;96.7;;;
04/03/1994;96.97;;;
07/03/1994;97.23;;;
08/03/1994;97.46;;;
09/03/1994;97.03;;;
10/03/1994;97.22;;;
11/03/1994;97.35;;;
14/03/1994;97.83;;;
15/03/1994;97.89;;;
16/03/1994;98.21;;;
17/03/1994;98.34;;;
18/03/1994;97.7;;;
21/03/1994;97;;;
22/03/1994;96.95;;;
23/03/1994;96.83;;;
24/03/1994;96.36;;;
25/03/1994;96.29;;;
28/03/1994;96.32;;;
29/03/1994;95.57;;;
30/03/1994;94.46;;;
31/03/1994;94.19;;;
01/04/1994;93.9;;;
04/04/1994;93.08;;;
05/04/1994;94.23;;;
06/04/1994;94.52;;;
07/04/1994;94.97;;;
08/04/1994;94.8;;;
11/04/1994;95.74;;;
12/04/1994;95.46;;;
13/04/1994;95.53;;;
14/04/1994;95.37;;;
15/04/1994;95.73;;;
18/04/1994;95.46;;;
19/04/1994;95.44;;;
20/04/1994;94.81;;;
21/04/1994;95.18;;;
22/04/1994;95.49;;;
25/04/1994;95.86;;;
26/04/1994;96.24;;;
27/04/1994;96.59;;;
28/04/1994;96.64;;;
29/04/1994;96.98;;;
02/05/1994;97.01;;;
03/05/1994;96.89;;;
04/05/1994;95.93;;;
05/05/1994;95.74;;;
06/05/1994;95.96;;;
09/05/1994;95.28;;;
10/05/1994;95.56;;;
11/05/1994;95.44;;;
12/05/1994;95.89;;;
13/05/1994;96.05;;;
16/05/1994;96.07;;;
17/05/1994;96.54;;;
18/05/1994;97.27;;;
19/05/1994;97.33;;;
20/05/1994;97.59;;;
23/05/1994;97.47;;;
24/05/1994;97.29;;;
25/05/1994;97.03;;;
26/05/1994;96.96;;;
27/05/1994;97.14;;;
30/05/1994;97.22;;;
31/05/1994;97.14;;;
01/06/1994;97.23;;;
02/06/1994;97.01;;;
03/06/1994;96.92;;;
06/06/1994;96.71;;;
07/06/1994;96.95;;;
08/06/1994;97.64;;;
09/06/1994;97.67;;;
10/06/1994;97.79;;;
13/06/1994;98.16;;;
14/06/1994;98.33;;;
15/06/1994;98.1;;;
16/06/1994;97.77;;;
17/06/1994;97.54;;;
20/06/1994;97.08;;;
21/06/1994;96.37;;;
22/06/1994;96.64;;;
23/06/1994;96.97;;;
24/06/1994;96;;;
27/06/1994;96.28;;;
28/06/1994;96.58;;;
29/06/1994;97.24;;;
30/06/1994;96.89;;;
01/07/1994;96.6;;;
04/07/1994;96.98;;;
05/07/1994;97.26;;;
06/07/1994;97.23;;;
07/07/1994;97.07;;;
08/07/1994;97.19;;;
11/07/1994;98.01;;;
12/07/1994;98.18;;;
13/07/1994;98.1;;;
14/07/1994;98.83;;;
15/07/1994;99.26;;;
18/07/1994;99.35;;;
19/07/1994;99.02;;;
20/07/1994;98.9;;;
21/07/1994;98.56;;;
22/07/1994;98.26;;;
25/07/1994;98.23;;;
26/07/1994;98.44;;;
27/07/1994;98.22;;;
28/07/1994;98.21;;;
29/07/1994;98.58;;;
01/08/1994;99.39;;;
02/08/1994;99.77;;;
03/08/1994;99.98;;;
04/08/1994;99.74;;;
05/08/1994;99.49;;;
08/08/1994;99.48;;;
09/08/1994;99.29;;;
10/08/1994;99.65;;;
11/08/1994;99.21;;;
12/08/1994;99.66;;;
15/08/1994;99.52;;;
16/08/1994;99.9;;;
17/08/1994;100.32;;;
18/08/1994;100.62;;;
19/08/1994;100.53;;;
22/08/1994;100.44;;;
23/08/1994;100.29;;;
24/08/1994;100.98;;;
25/08/1994;100.61;;;
26/08/1994;100.88;;;
29/08/1994;100.98;;;
30/08/1994;101.27;;;
31/08/1994;101.3;;;
01/09/1994;101.12;;;
02/09/1994;101.28;;;
05/09/1994;100.87;;;
06/09/1994;100.91;;;
07/09/1994;100.25;;;
08/09/1994;100.14;;;
09/09/1994;99.87;;;
12/09/1994;99.68;;;
13/09/1994;99.82;;;
14/09/1994;99.79;;;
15/09/1994;100.16;;;
16/09/1994;99.98;;;
19/09/1994;99.42;;;
20/09/1994;99.43;;;
21/09/1994;99.31;;;
22/09/1994;98.99;;;
23/09/1994;99.21;;;
26/09/1994;98.73;;;
27/09/1994;98.61;;;
28/09/1994;99.04;;;
29/09/1994;98.75;;;
30/09/1994;98.5;;;
03/10/1994;97.94;;;
04/10/1994;97.44;;;
05/10/1994;97.26;;;
06/10/1994;97.05;;;
07/10/1994;97.2;;;
10/10/1994;97.63;;;
11/10/1994;98.67;;;
12/10/1994;99.32;;;
13/10/1994;99.89;;;
14/10/1994;100.39;;;
17/10/1994;100.61;;;
18/10/1994;100.47;;;
19/10/1994;100.51;;;
20/10/1994;100.47;;;
21/10/1994;100.03;;;
24/10/1994;99.58;;;
25/10/1994;99.31;;;
26/10/1994;99.34;;;
27/10/1994;99.81;;;
28/10/1994;100.47;;;
31/10/1994;101.1;;;
01/11/1994;100.73;;;
02/11/1994;100.38;;;
03/11/1994;99.84;;;
04/11/1994;99.39;;;
07/11/1994;99.16;;;
08/11/1994;99.49;;;
09/11/1994;98.99;;;
10/11/1994;98.45;;;
11/11/1994;98.37;;;
14/11/1994;98.22;;;
15/11/1994;98.67;;;
16/11/1994;98.51;;;
17/11/1994;98.32;;;
18/11/1994;97.83;;;
21/11/1994;97.29;;;
22/11/1994;96.19;;;
23/11/1994;95.53;;;
24/11/1994;95.38;;;
25/11/1994;95.49;;;
28/11/1994;95.89;;;
29/11/1994;96.22;;;
30/11/1994;96.43;;;
01/12/1994;95.76;;;
02/12/1994;95.43;;;
05/12/1994;95.94;;;
06/12/1994;95.84;;;
07/12/1994;95.54;;;
08/12/1994;94.75;;;
09/12/1994;94.25;;;
12/12/1994;94.26;;;
13/12/1994;94.12;;;
14/12/1994;94.79;;;
15/12/1994;95.21;;;
16/12/1994;95.67;;;
19/12/1994;95.76;;;
20/12/1994;95.91;;;
21/12/1994;96.19;;;
22/12/1994;96.36;;;
23/12/1994;96.49;;;
26/12/1994;96.67;;;
27/12/1994;96.67;;;
28/12/1994;96.5;;;
29/12/1994;96.92;;;
30/12/1994;96.95;;;
02/01/1995;96.91;;;
03/01/1995;96.55;;;
04/01/1995;96.17;;;
05/01/1995;96.02;;;
06/01/1995;95.66;;;
09/01/1995;95.44;;;
10/01/1995;95.6;;;
11/01/1995;95.79;;;
12/01/1995;95.81;;;
13/01/1995;96.13;;;
16/01/1995;96.94;;;
17/01/1995;96.37;;;
18/01/1995;96.23;;;
19/01/1995;95.35;;;
20/01/1995;94.84;;;
23/01/1995;92.91;;;
24/01/1995;93.37;;;
25/01/1995;93.77;;;
26/01/1995;93.96;;;
27/01/1995;94.2;;;
30/01/1995;95.12;;;
31/01/1995;95;;;
01/02/1995;95.11;;;
02/02/1995;95.2;;;
03/02/1995;95.68;;;
06/02/1995;96.34;;;
07/02/1995;96.1;;;
08/02/1995;95.76;;;
09/02/1995;95.7;;;
10/02/1995;96.18;;;
13/02/1995;96.15;;;
14/02/1995;95.84;;;
15/02/1995;95.98;;;
16/02/1995;95.99;;;
17/02/1995;96.02;;;
20/02/1995;96.11;;;
21/02/1995;96.05;;;
22/02/1995;96.31;;;
23/02/1995;96.41;;;
24/02/1995;95.99;;;
27/02/1995;94.71;;;
28/02/1995;95.61;;;
01/03/1995;95.25;;;
02/03/1995;95.85;;;
03/03/1995;96.89;;;
06/03/1995;97.27;;;
07/03/1995;96.92;;;
08/03/1995;96.87;;;
09/03/1995;96.74;;;
10/03/1995;96.36;;;
13/03/1995;96.79;;;
14/03/1995;96.63;;;
15/03/1995;97.63;;;
16/03/1995;97.76;;;
17/03/1995;97.52;;;
20/03/1995;97.35;;;
21/03/1995;97.27;;;
22/03/1995;97.09;;;
23/03/1995;96.88;;;
24/03/1995;96.98;;;
27/03/1995;97.82;;;
28/03/1995;99.17;;;
29/03/1995;99.53;;;
30/03/1995;99.04;;;
31/03/1995;100.1;;;
03/04/1995;98.84;;;
04/04/1995;99.67;;;
05/04/1995;100.09;;;
06/04/1995;100.59;;;
07/04/1995;100.95;;;
10/04/1995;101.48;;;
11/04/1995;101.41;;;
12/04/1995;101.45;;;
13/04/1995;102.22;;;
14/04/1995;101.8;;;
17/04/1995;102.7;;;
18/04/1995;102.55;;;
19/04/1995;102.93;;;
20/04/1995;102.58;;;
21/04/1995;103.35;;;
24/04/1995;103.34;;;
25/04/1995;104.39;;;
26/04/1995;103.28;;;
27/04/1995;103.78;;;
28/04/1995;103.59;;;
01/05/1995;103.69;;;
02/05/1995;104.66;;;
03/05/1995;105.35;;;
04/05/1995;105.46;;;
05/05/1995;104.99;;;
08/05/1995;105.92;;;
09/05/1995;105.8;;;
10/05/1995;105.36;;;
11/05/1995;104.24;;;
12/05/1995;103.78;;;
15/05/1995;103.84;;;
16/05/1995;103.82;;;
17/05/1995;103.79;;;
18/05/1995;102.3;;;
19/05/1995;102.13;;;
22/05/1995;101.78;;;
23/05/1995;102.68;;;
24/05/1995;103.06;;;
25/05/1995;104.02;;;
26/05/1995;104.45;;;
29/05/1995;104.08;;;
30/05/1995;104.3;;;
31/05/1995;103.99;;;
01/06/1995;104.16;;;
02/06/1995;105.1;;;
05/06/1995;105.41;;;
06/06/1995;104.64;;;
07/06/1995;104.75;;;
08/06/1995;103.78;;;
09/06/1995;103.21;;;
12/06/1995;102.9;;;
13/06/1995;103.01;;;
14/06/1995;103.25;;;
15/06/1995;103.31;;;
16/06/1995;103.6;;;
19/06/1995;104.08;;;
20/06/1995;104.06;;;
21/06/1995;104.49;;;
22/06/1995;105.25;;;
23/06/1995;105.44;;;
26/06/1995;104.51;;;
27/06/1995;104.19;;;
28/06/1995;103.66;;;
29/06/1995;103.26;;;
30/06/1995;103.46;;;
03/07/1995;103.85;;;
04/07/1995;104.32;;;
05/07/1995;104.58;;;
06/07/1995;105.55;;;
07/07/1995;107.11;;;
10/07/1995;107.34;;;
11/07/1995;107.54;;;
12/07/1995;108.02;;;
13/07/1995;108.18;;;
14/07/1995;107.79;;;
17/07/1995;108.08;;;
18/07/1995;107.5;;;
19/07/1995;106.62;;;
20/07/1995;106.91;;;
21/07/1995;106.82;;;
24/07/1995;107.7;;;
25/07/1995;107.41;;;
26/07/1995;107.96;;;
27/07/1995;108.43;;;
28/07/1995;108.52;;;
31/07/1995;108.55;;;
01/08/1995;107.76;;;
02/08/1995;107.62;;;
03/08/1995;108.06;;;
04/08/1995;107.73;;;
07/08/1995;107.54;;;
08/08/1995;107.57;;;
09/08/1995;107.37;;;
10/08/1995;106.55;;;
11/08/1995;105.96;;;
