date;close;open;high;low
29/12/2000;100;;;
01/01/2001;99.9;;;
02/01/2001;100.02;;;
03/01/2001;100.67;;;
04/01/2001;104.19;;;
05/01/2001;104.58;;;
08/01/2001;104.46;;;
09/01/2001;105.58;;;
10/01/2001;104.86;;;
11/01/2001;105.1;;;
12/01/2001;105.99;;;
15/01/2001;106.44;;;
16/01/2001;106.94;;;
17/01/2001;108.09;;;
18/01/2001;109.54;;;
19/01/2001;111.19;;;
22/01/2001;111.15;;;
23/01/2001;111.74;;;
24/01/2001;111.59;;;
25/01/2001;111.71;;;
26/01/2001;111.29;;;
29/01/2001;111;;;
30/01/2001;112.03;;;
31/01/2001;113.76;;;
01/02/2001;113.34;;;
02/02/2001;113.07;;;
05/02/2001;111.15;;;
06/02/2001;111.5;;;
07/02/2001;109.71;;;
08/02/2001;110.38;;;
09/02/2001;110.51;;;
12/02/2001;110.65;;;
13/02/2001;111.18;;;
14/02/2001;110.8;;;
15/02/2001;111.89;;;
16/02/2001;110.84;;;
19/02/2001;109.85;;;
20/02/2001;110;;;
21/02/2001;107.21;;;
22/02/2001;105.26;;;
23/02/2001;104.56;;;
26/02/2001;105.51;;;
27/02/2001;105.16;;;
28/02/2001;104.84;;;
01/03/2001;104.34;;;
02/03/2001;103.34;;;
05/03/2001;103.91;;;
06/03/2001;104.76;;;
07/03/2001;105.05;;;
08/03/2001;105.38;;;
09/03/2001;104.14;;;
12/03/2001;100.87;;;
13/03/2001;99.98;;;
14/03/2001;98.96;;;
15/03/2001;99.06;;;
16/03/2001;98.31;;;
19/03/2001;97.4;;;
20/03/2001;97.18;;;
21/03/2001;97.15;;;
22/03/2001;94.99;;;
23/03/2001;95.65;;;
26/03/2001;97.27;;;
27/03/2001;97.12;;;
28/03/2001;96.36;;;
29/03/2001;94.63;;;
30/03/2001;94.5;;;
02/04/2001;92.99;;;
03/04/2001;90.82;;;
04/04/2001;89.67;;;
05/04/2001;91.19;;;
06/04/2001;92.16;;;
09/04/2001;91.7;;;
10/04/2001;92.62;;;
11/04/2001;93.92;;;
12/04/2001;94.47;;;
13/04/2001;94.59;;;
16/04/2001;93.83;;;
17/04/2001;93.75;;;
18/04/2001;96.62;;;
19/04/2001;98.06;;;
20/04/2001;96.52;;;
23/04/2001;96.06;;;
24/04/2001;96.19;;;
25/04/2001;96.49;;;
26/04/2001;97.52;;;
27/04/2001;97.95;;;
30/04/2001;99.15;;;
01/05/2001;99.15;;;
02/05/2001;100.19;;;
03/05/2001;100.31;;;
04/05/2001;99.75;;;
07/05/2001;99.96;;;
08/05/2001;99.51;;;
09/05/2001;99.47;;;
10/05/2001;99.44;;;
11/05/2001;99.08;;;
14/05/2001;97.95;;;
15/05/2001;97.48;;;
16/05/2001;97.96;;;
17/05/2001;100.68;;;
18/05/2001;101.12;;;
21/05/2001;101.71;;;
22/05/2001;102.22;;;
23/05/2001;102.62;;;
24/05/2001;102.25;;;
25/05/2001;101.78;;;
28/05/2001;101.74;;;
29/05/2001;101.5;;;
30/05/2001;100.48;;;
31/05/2001;100.3;;;
01/06/2001;99.97;;;
04/06/2001;100.29;;;
05/06/2001;99.92;;;
06/06/2001;100.38;;;
07/06/2001;100.59;;;
08/06/2001;101.59;;;
11/06/2001;101.04;;;
12/06/2001;100.71;;;
13/06/2001;100.55;;;
14/06/2001;100.01;;;
15/06/2001;99.36;;;
18/06/2001;97.42;;;
19/06/2001;97.41;;;
20/06/2001;97.08;;;
21/06/2001;97.87;;;
22/06/2001;98.1;;;
25/06/2001;97.99;;;
26/06/2001;97.57;;;
27/06/2001;97.7;;;
28/06/2001;97.1;;;
29/06/2001;98.21;;;
02/07/2001;98.47;;;
03/07/2001;97.67;;;
04/07/2001;96.88;;;
05/07/2001;96.33;;;
06/07/2001;94.81;;;
09/07/2001;94.17;;;
10/07/2001;93.56;;;
11/07/2001;91.66;;;
12/07/2001;92.46;;;
13/07/2001;91.95;;;
16/07/2001;91.14;;;
17/07/2001;91.17;;;
18/07/2001;90.62;;;
19/07/2001;90.8;;;
20/07/2001;90.71;;;
23/07/2001;90.67;;;
24/07/2001;90.08;;;
25/07/2001;90.14;;;
26/07/2001;91.03;;;
27/07/2001;91.43;;;
30/07/2001;91.68;;;
31/07/2001;91.96;;;
01/08/2001;92.5;;;
02/08/2001;93.6;;;
03/08/2001;93.58;;;
06/08/2001;92.94;;;
07/08/2001;92.35;;;
08/08/2001;92.46;;;
09/08/2001;91.65;;;
10/08/2001;92.01;;;
13/08/2001;92.37;;;
14/08/2001;93.31;;;
15/08/2001;93.25;;;
16/08/2001;93.03;;;
17/08/2001;91.66;;;
20/08/2001;90.74;;;
21/08/2001;90.82;;;
22/08/2001;91.13;;;
23/08/2001;91.04;;;
24/08/2001;91.19;;;
27/08/2001;92.31;;;
28/08/2001;92.01;;;
29/08/2001;92.17;;;
30/08/2001;91.63;;;
31/08/2001;91.04;;;
03/09/2001;90.19;;;
04/09/2001;90.71;;;
05/09/2001;90.07;;;
06/09/2001;88.91;;;
07/09/2001;88.6;;;
10/09/2001;87.85;;;
11/09/2001;84.96;;;
12/09/2001;82.74;;;
13/09/2001;81.68;;;
14/09/2001;79.72;;;
17/09/2001;78.41;;;
18/09/2001;78.82;;;
19/09/2001;79.41;;;
20/09/2001;77.17;;;
21/09/2001;75.12;;;
24/09/2001;75.96;;;
25/09/2001;75.67;;;
26/09/2001;75.74;;;
27/09/2001;75.75;;;
28/09/2001;76.93;;;
01/10/2001;76.6;;;
02/10/2001;76.01;;;
03/10/2001;75.62;;;
04/10/2001;77.11;;;
05/10/2001;77.37;;;
08/10/2001;76.48;;;
09/10/2001;77.81;;;
10/10/2001;78.71;;;
11/10/2001;80.87;;;
12/10/2001;80.46;;;
15/10/2001;80.13;;;
16/10/2001;80.9;;;
17/10/2001;81.54;;;
18/10/2001;80.63;;;
19/10/2001;80.83;;;
22/10/2001;81.17;;;
23/10/2001;81.74;;;
24/10/2001;82.74;;;
25/10/2001;82.71;;;
26/10/2001;83.13;;;
29/10/2001;82.9;;;
30/10/2001;81.33;;;
31/10/2001;81.7;;;
01/11/2001;82.09;;;
02/11/2001;82.65;;;
05/11/2001;84.19;;;
06/11/2001;84.44;;;
07/11/2001;84.3;;;
08/11/2001;85.39;;;
09/11/2001;85.73;;;
12/11/2001;85.63;;;
13/11/2001;86.75;;;
14/11/2001;88.13;;;
15/11/2001;89.25;;;
16/11/2001;89.31;;;
19/11/2001;90.83;;;
20/11/2001;89.67;;;
21/11/2001;89.71;;;
22/11/2001;90.14;;;
23/11/2001;91.2;;;
26/11/2001;92.86;;;
27/11/2001;92.48;;;
28/11/2001;90.44;;;
29/11/2001;89.81;;;
30/11/2001;90.23;;;
03/12/2001;91.45;;;
04/12/2001;92.43;;;
