date;close;open;high;low
04/02/1985;126.22;126.22;126.22;126.22
05/02/1985;126.76;126.76;126.76;126.76
06/02/1985;127.16;127.16;127.16;127.16
07/02/1985;128.56;128.56;128.56;128.56
08/02/1985;128.65;128.65;128.65;128.65
11/02/1985;127.8;127.8;127.8;127.8
12/02/1985;126.97;126.97;126.97;126.97
13/02/1985;127.88;127.88;127.88;127.88
14/02/1985;127.01;127.01;127.01;127.01
15/02/1985;126.02;126.02;126.02;126.02
18/02/1985;126.02;126.02;126.02;126.02
19/02/1985;125.09;125.09;125.09;125.09
20/02/1985;125.48;125.48;125.48;125.48
21/02/1985;125.25;125.25;125.25;125.25
22/02/1985;124.95;124.95;124.95;124.95
25/02/1985;123.59;123.59;123.59;123.59
26/02/1985;124.69;124.69;124.69;124.69
27/02/1985;123.56;123.56;123.56;123.56
28/02/1985;123.52;123.52;123.52;123.52
01/03/1985;124.84;124.84;124.84;124.84
04/03/1985;125.11;125.11;125.11;125.11
05/03/1985;124.6;124.6;124.6;124.6
06/03/1985;122.5;122.5;122.5;122.5
07/03/1985;120.61;120.61;120.61;120.61
08/03/1985;119.79;119.79;119.79;119.79
11/03/1985;119.22;119.22;119.22;119.22
12/03/1985;119.72;119.72;119.72;119.72
13/03/1985;116.73;116.73;116.73;116.73
14/03/1985;115.98;115.98;115.98;115.98
15/03/1985;116.61;116.61;116.61;116.61
18/03/1985;116.61;116.61;116.61;116.61
19/03/1985;117.84;117.84;117.84;117.84
20/03/1985;117.63;117.63;117.63;117.63
21/03/1985;117.67;117.67;117.67;117.67
22/03/1985;117.31;117.31;117.31;117.31
25/03/1985;115.02;115.02;115.02;115.02
26/03/1985;115.25;115.25;115.25;115.25
27/03/1985;116.38;116.38;116.38;116.38
28/03/1985;116.39;116.39;116.39;116.39
29/03/1985;117.36;117.36;117.36;117.36
01/04/1985;118.72;118.72;118.72;118.72
02/04/1985;117.96;117.96;117.96;117.96
03/04/1985;116.19;116.19;116.19;116.19
04/04/1985;115.97;115.97;115.97;115.97
05/04/1985;115.97;115.97;115.97;115.97
08/04/1985;115.14;115.14;115.14;115.14
09/04/1985;115.33;115.33;115.33;115.33
10/04/1985;117.11;117.11;117.11;117.11
11/04/1985;117.25;117.25;117.25;117.25
12/04/1985;117.5;117.5;117.5;117.5
15/04/1985;117.74;117.74;117.74;117.74
16/04/1985;118.24;118.24;118.24;118.24
17/04/1985;118.84;118.84;118.84;118.84
18/04/1985;118.33;118.33;118.33;118.33
19/04/1985;118.02;118.02;118.02;118.02
22/04/1985;117;117;117;117
23/04/1985;117.66;117.66;117.66;117.66
24/04/1985;117.64;117.64;117.64;117.64
25/04/1985;118.16;118.16;118.16;118.16
26/04/1985;117.84;117.84;117.84;117.84
29/04/1985;116.23;116.23;116.23;116.23
30/04/1985;115.38;115.38;115.38;115.38
01/05/1985;114.83;114.83;114.83;114.83
02/05/1985;114.36;114.36;114.36;114.36
03/05/1985;115.29;115.29;115.29;115.29
06/05/1985;114.45;114.45;114.45;114.45
07/05/1985;114.97;114.97;114.97;114.97
08/05/1985;115.08;115.08;115.08;115.08
09/05/1985;116.54;116.54;116.54;116.54
10/05/1985;119.75;119.75;119.75;119.75
13/05/1985;120.17;120.17;120.17;120.17
14/05/1985;119.56;119.56;119.56;119.56
15/05/1985;119.83;119.83;119.83;119.83
16/05/1985;120.59;120.59;120.59;120.59
17/05/1985;121.66;121.66;121.66;121.66
20/05/1985;123.36;123.36;123.36;123.36
21/05/1985;122.81;122.81;122.81;122.81
22/05/1985;122.27;122.27;122.27;122.27
23/05/1985;121.3;121.3;121.3;121.3
24/05/1985;121.05;121.05;121.05;121.05
27/05/1985;121.05;121.05;121.05;121.05
28/05/1985;119.56;119.56;119.56;119.56
29/05/1985;119.59;119.59;119.59;119.59
30/05/1985;118.72;118.72;118.72;118.72
31/05/1985;119.64;119.64;119.64;119.64
03/06/1985;119.78;119.78;119.78;119.78
04/06/1985;120.1;120.1;120.1;120.1
05/06/1985;119.75;119.75;119.75;119.75
06/06/1985;119.88;119.88;119.88;119.88
07/06/1985;119.16;119.16;119.16;119.16
10/06/1985;119.05;119.05;119.05;119.05
11/06/1985;118.34;118.34;118.34;118.34
12/06/1985;116.75;116.75;116.75;116.75
13/06/1985;114.61;114.61;114.61;114.61
14/06/1985;115.45;115.45;115.45;115.45
17/06/1985;114.76;114.76;114.76;114.76
18/06/1985;114.92;114.92;114.92;114.92
19/06/1985;115.14;115.14;115.14;115.14
20/06/1985;114.56;114.56;114.56;114.56
21/06/1985;115.8;115.8;115.8;115.8
24/06/1985;117.3;117.3;117.3;117.3
25/06/1985;119.64;119.64;119.64;119.64
26/06/1985;120.95;120.95;120.95;120.95
27/06/1985;122.14;122.14;122.14;122.14
28/06/1985;122.14;122.14;122.14;122.14
01/07/1985;122.42;122.42;122.42;122.42
02/07/1985;121.79;121.79;121.79;121.79
03/07/1985;121.28;121.28;121.28;121.28
04/07/1985;121.28;121.28;121.28;121.28
05/07/1985;121.76;121.76;121.76;121.76
08/07/1985;120.86;120.86;120.86;120.86
09/07/1985;120.31;120.31;120.31;120.31
10/07/1985;120.86;120.86;120.86;120.86
11/07/1985;121.9;121.9;121.9;121.9
12/07/1985;122.84;122.84;122.84;122.84
15/07/1985;123.33;123.33;123.33;123.33
16/07/1985;124.73;124.73;124.73;124.73
17/07/1985;126.61;126.61;126.61;126.61
18/07/1985;125.31;125.31;125.31;125.31
19/07/1985;125.87;125.87;125.87;125.87
22/07/1985;125.47;125.47;125.47;125.47
23/07/1985;125.89;125.89;125.89;125.89
24/07/1985;125.11;125.11;125.11;125.11
25/07/1985;125.78;125.78;125.78;125.78
26/07/1985;125.5;125.5;125.5;125.5
29/07/1985;123.09;123.09;123.09;123.09
30/07/1985;123.11;123.11;123.11;123.11
31/07/1985;123.27;123.27;123.27;123.27
01/08/1985;124.55;124.55;124.55;124.55
02/08/1985;124.45;124.45;124.45;124.45
05/08/1985;123.28;123.28;123.28;123.28
06/08/1985;122.27;122.27;122.27;122.27
07/08/1985;121.17;121.17;121.17;121.17
08/08/1985;121.46;121.46;121.46;121.46
09/08/1985;121.72;121.72;121.72;121.72
12/08/1985;121.16;121.16;121.16;121.16
13/08/1985;119.91;119.91;119.91;119.91
14/08/1985;120.06;120.06;120.06;120.06
15/08/1985;119.73;119.73;119.73;119.73
16/08/1985;118.81;118.81;118.81;118.81
19/08/1985;118.29;118.29;118.29;118.29
20/08/1985;119.55;119.55;119.55;119.55
21/08/1985;120.38;120.38;120.38;120.38
22/08/1985;119.52;119.52;119.52;119.52
23/08/1985;119.17;119.17;119.17;119.17
26/08/1985;119.04;119.04;119.04;119.04
27/08/1985;117.92;117.92;117.92;117.92
