ticker;date_3t22
RRRP;08/11/2022
TTEN;07/11/2022
ABCB;04/11/2022
AERI;10/11/2022
AESB;03/11/2022
AGXY;14/11/2022
AALR;16/11/2022
ALLD;14/11/2022
ALPA;03/11/2022
APER;09/11/2022
AVLL;14/11/2022
ALUP;09/11/2022
AMBP;07/11/2022
AMER;10/11/2022
ANIM;11/11/2022
ARZZ;09/11/2022
ARML;09/11/2022
ASAI;20/10/2022
ATMP;16/11/2022
AURE;26/10/2022
AZUL;09/11/2022
B3SA;10/11/2022
BAHE;11/11/2022
BMGB;10/11/2022
BPAN;01/11/2022
BRSR;14/11/2022
BBSE;04/11/2022
BIOM;10/11/2022
BLAU;03/11/2022
SOJA;11/11/2022
BOAS;09/11/2022
BRLM;10/11/2022
BRBI;10/11/2022
BBDC;08/11/2022
BRAP;09/11/2022
AGRO;08/11/2022
BRKM;08/11/2022
BRFS;09/11/2022
BRIT;16/11/2022
BPAC;04/11/2022
CXSE;08/11/2022
CAML;12/01/2023
CRFB;09/11/2022
CBAV;08/11/2022
CCRO;10/11/2022
CEAB;08/11/2022
CLSC;11/11/2022
CMIG;14/11/2022
CIEL;31/10/2022
CLSA;10/11/2022
COGN;10/11/2022
CSMG;01/11/2022
CPLE;10/11/2022
CSAN;10/11/2022
CPFE;10/11/2022
CSED;14/11/2022
CMIN;31/10/2022
CARD;08/11/2022
CURY;08/11/2022
CVCB;08/11/2022
CYRE;10/11/2022
DASA;14/11/2022
DESK;14/11/2022
DXCO;26/10/2022
PNVL;10/11/2022
DIRR;07/11/2022
ELMD;09/11/2022
EMBR;10/11/2022
ENGI;10/11/2022
ENMT;00/01/1900
ENEV;10/11/2022
EGIE;08/11/2022
ENJU;10/11/2022
GFSA;10/11/2022
GOAU;08/11/2022
GGBR;08/11/2022
NINJ;07/11/2022
GOLL;26/10/2022
GGPS;10/11/2022
GRND;27/10/2022
GMAT;10/11/2022
NTCO;09/11/2022
SBFG;01/11/2022
SOMA;10/11/2022
GUAR;09/11/2022
HAPV;09/11/2022
HBRE;14/11/2022
HBOR;09/11/2022
SEQL;18/10/2022
ROMI;25/10/2022
VIVT;25/10/2022
WEGE;25/10/2022
ENBR;26/10/2022
KLBN;26/10/2022
ODPV;26/10/2022
LOGG;26/10/2022
SANB;25/10/2022
SUZB;27/10/2022
ABEV;26/10/2022
TRPL;27/10/2022
VALE;27/10/2022
VAMO;27/10/2022
HYPE;27/10/2022
USIM;27/10/2022
INTB;31/10/2022
RADL;31/10/2022
PRIO;31/10/2022
LJQQ;31/10/2022
RENT;31/10/2022
CSNA;31/10/2022
VULC;01/11/2022
MULT;03/11/2022
PCAR;03/11/2022
PETR;03/11/2022
POMO;03/11/2022
JSLG;03/11/2022
TGMA;03/11/2022
LREN;03/11/2022
SAPR;03/11/2022
TEND;03/11/2022
NGRD;03/11/2022
BRPR;03/11/2022
SLCE;04/11/2022
ECOR;07/11/2022
MOVI;07/11/2022
PGMN;07/11/2022
TIMS;07/11/2022
TUPY;07/11/2022
MODL;07/11/2022
SMTO;07/11/2022
TECN;07/11/2022
PINE;07/11/2022
GETT;04/11/2022
IGTI;08/11/2022
TOTS;08/11/2022
SCAR;08/11/2022
ETER;08/11/2022
LOGN;08/11/2022
TASA;08/11/2022
LAND;08/11/2022
VLID;08/11/2022
QUAL;08/11/2022
TRIS;08/11/2022
INBR;08/11/2022
CASH;08/11/2022
UGPA;09/11/2022
PSSA;09/11/2022
SIMH;09/11/2022
ALSO;09/11/2022
ALPK;09/11/2022
BBAS;09/11/2022
DMVF;09/11/2022
EQTL;09/11/2022
FRAS;09/11/2022
MYPK;09/11/2022
KRSA;09/11/2022
LAVV;09/11/2022
MATD;09/11/2022
BEEF;09/11/2022
MDNE;09/11/2022
MRVE;09/11/2022
OPCT;09/11/2022
POSI;09/11/2022
PFRM;09/11/2022
RSID;09/11/2022
STBP;09/11/2022
SMFT;08/11/2022
SULA;09/11/2022
TAEE;09/11/2022
TRAD;09/11/2022
FIQE;09/11/2022
PORT;09/11/2022
LWSA;09/11/2022
ELET;09/11/2022
SYNE;10/11/2022
OFSA;10/11/2022
ITUB;10/11/2022
PTBL;10/11/2022
VVEO;10/11/2022
RECV;10/11/2022
PETZ;10/11/2022
VITT;10/11/2022
BMOB;10/11/2022
BRML;10/11/2022
BKBR;10/11/2022
ENAT;10/11/2022
EZTC;10/11/2022
FESA;10/11/2022
GMTA;10/11/2022
PARD;10/11/2022
HBSA;10/11/2022
MEAL;10/11/2022
IFCM;10/11/2022
JALL;10/11/2022
JBSS;10/11/2022
JHSF;10/11/2022
LLIS;10/11/2022
LIGT;10/11/2022
AMAR;10/11/2022
MGLU;10/11/2022
MTRE;10/11/2022
OIBR;10/11/2022
PLPL;10/11/2022
PRNR;10/11/2022
RAIZ;10/11/2022
RAPT;10/11/2022
RAIL;10/11/2022
SBSP;10/11/2022
SQIA;10/11/2022
SGPS;10/11/2022
TCSA;10/11/2022
SHOW;10/11/2022
TFCO;10/11/2022
TPIS;10/11/2022
UCAS;10/11/2022
UNIP;10/11/2022
VIIA;10/11/2022
VIVA;10/11/2022
LVTC;10/11/2022
WIZS;10/11/2022
LUPA;10/11/2022
MBLY;10/11/2022
DOTZ;10/11/2022
EVEN;10/11/2022
IRBR;10/11/2022
LPSB;10/11/2022
MELK;10/11/2022
MILS;10/11/2022
MLAS;10/11/2022
ONCO;10/11/2022
RNEW;10/11/2022
VBBR;10/11/2022
WEST;10/11/2022
YDUQ;10/11/2022
FHER;09/11/2022
BEES;10/11/2022
LEVE;11/11/2022
PMAM;11/11/2022
CGRA;11/11/2022
IGSN;11/11/2022
MDIA;11/11/2022
SEER;10/11/2022
ITSA;11/11/2022
MEGA;10/11/2022
MRFG;14/11/2022
SLED;14/11/2022
DMMO;14/11/2022
ESPA;14/11/2022
FRIO;14/11/2022
ORVR;14/11/2022
RDOR;14/11/2022
