,date,ticker,maturity,opening_contracts,closing_contracts,trading_number,trading_contracts,volume,oscilation,open,low,high,mean,close,adjustment,points_delta,last_buy,last_sell
0,2018-01-02,WIN,G18,71.009,71.212,297.839,1.080.758,16.846.839.175,77.040,76.980,78.420,77.940,78.295,78.313,"1,9",1.470,0,0
1,2018-01-02,WIN,J18,4,5,5,6,93.932,77.380,77.380,78.900,78.277,78.900,79.119,"1,9",1.478,0,0
2,2018-01-02,WIN,M18,0,0,0,0,0,0,0,0,0,0,79.815,"1,9",1.486,0,0
3,2018-01-02,WIN,Q18,0,0,0,0,0,0,0,0,0,0,80.665,"1,9",1.501,0,0
4,2018-01-02,WIN,V18,0,0,0,0,0,0,0,0,0,0,81.501,"1,9",1.503,0,0
5,2018-01-02,WIN,Z18,0,0,0,0,0,0,0,0,0,0,82.295,"1,9",1.502,0,0
6,2018-01-02,WIN,G19,0,0,0,0,0,0,0,0,0,0,83.274,"1,8",1.492,0,0
7,2018-01-02,WIN,J19,0,0,0,0,0,0,0,0,0,0,84.311,"1,8",1.478,0,0
8,2018-01-02,WIN,M19,0,0,0,0,0,0,0,0,0,0,85.311,"1,8",1.469,0,0
9,2018-01-02,WIN,Q19,0,0,0,0,0,0,0,0,0,0,86.571,"1,7",1.449,0,0
10,2018-01-02,WIN,V19,0,0,0,0,0,0,0,0,0,0,87.928,"1,7",1.434,0,0
11,2018-01-02,WIN,Z19,0,0,0,0,0,0,0,0,0,0,89.322,"1,6",1.445,0,0
12,2018-01-02,WIN,G20,0,0,0,0,0,0,0,0,0,0,90.609,"3,0",2.609,0,0
15,2018-01-03,WIN,G18,71.212,72.574,404.557,1.434.381,22.525.934.706,78.400,78.060,78.970,78.521,78.400,78.457,"0,2",144,0,0
16,2018-01-03,WIN,J18,5,5,0,0,0,0,0,0,0,0,79.263,"0,2",144,0,0
17,2018-01-03,WIN,M18,0,0,0,0,0,0,0,0,0,0,79.959,"0,2",144,0,0
18,2018-01-03,WIN,Q18,0,0,0,0,0,0,0,0,0,0,80.809,"0,2",144,0,0
19,2018-01-03,WIN,V18,0,0,0,0,0,0,0,0,0,0,81.638,"0,2",137,0,0
20,2018-01-03,WIN,Z18,0,0,0,0,0,0,0,0,0,0,82.426,"0,2",131,0,0
21,2018-01-03,WIN,G19,0,0,0,0,0,0,0,0,0,0,83.406,"0,2",132,0,0
22,2018-01-03,WIN,J19,0,0,0,0,0,0,0,0,0,0,84.447,"0,2",136,0,0
23,2018-01-03,WIN,M19,0,0,0,0,0,0,0,0,0,0,85.453,"0,2",142,0,0
24,2018-01-03,WIN,Q19,0,0,0,0,0,0,0,0,0,0,86.722,"0,2",151,0,0
25,2018-01-03,WIN,V19,0,0,0,0,0,0,0,0,0,0,88.084,"0,2",156,0,0
26,2018-01-03,WIN,Z19,0,0,0,0,0,0,0,0,0,0,89.469,"0,2",147,0,0
27,2018-01-03,WIN,G20,0,0,0,0,0,0,0,0,0,0,90.745,"0,2",136,0,0
30,2018-01-04,WIN,G18,72.574,71.801,455.394,1.713.874,27.168.115.784,78.620,78.505,79.710,79.259,79.185,79.198,"0,9",741,0,0
31,2018-01-04,WIN,J18,5,7,3,4,64.080,80.000,80.000,80.400,80.100,80.400,80.010,"0,9",747,0,0
32,2018-01-04,WIN,M18,0,0,0,0,0,0,0,0,0,0,80.712,"0,9",753,0,0
33,2018-01-04,WIN,Q18,0,0,0,0,0,0,0,0,0,0,81.571,"0,9",762,0,0
34,2018-01-04,WIN,V18,0,0,0,0,0,0,0,0,0,0,82.402,"0,9",764,0,0
35,2018-01-04,WIN,Z18,0,0,0,0,0,0,0,0,0,0,83.200,"0,9",774,0,0
36,2018-01-04,WIN,G19,0,0,0,0,0,0,0,0,0,0,84.187,"0,9",781,0,0
37,2018-01-04,WIN,J19,0,0,0,0,0,0,0,0,0,0,85.237,"0,9",790,0,0
38,2018-01-04,WIN,M19,0,0,0,0,0,0,0,0,0,0,86.257,"0,9",804,0,0
39,2018-01-04,WIN,Q19,0,0,0,0,0,0,0,0,0,0,87.539,"0,9",817,0,0
40,2018-01-04,WIN,V19,0,0,0,0,0,0,0,0,0,0,88.916,"0,9",832,0,0
41,2018-01-04,WIN,Z19,0,0,0,0,0,0,0,0,0,0,90.325,"1,0",856,0,0
42,2018-01-04,WIN,G20,0,0,0,0,0,0,0,0,0,0,91.616,"1,0",871,0,0
45,2018-01-05,WIN,G18,71.801,73.560,493.642,1.745.350,27.649.210.914,79.440,78.685,79.630,79.208,79.630,79.481,"0,4",283,0,0
46,2018-01-05,WIN,J18,7,5,4,4,64.020,79.905,79.615,80.385,80.025,80.385,80.303,"0,4",293,0,0
47,2018-01-05,WIN,M18,0,0,0,0,0,0,0,0,0,0,81.007,"0,4",295,0,0
48,2018-01-05,WIN,Q18,0,0,0,0,0,0,0,0,0,0,81.871,"0,4",300,0,0
49,2018-01-05,WIN,V18,0,0,0,0,0,0,0,0,0,0,82.713,"0,4",311,0,0
50,2018-01-05,WIN,Z18,0,0,0,0,0,0,0,0,0,0,83.519,"0,4",319,0,0
51,2018-01-05,WIN,G19,0,0,0,0,0,0,0,0,0,0,84.512,"0,4",325,0,0
52,2018-01-05,WIN,J19,0,0,0,0,0,0,0,0,0,0,85.573,"0,4",336,0,0
53,2018-01-05,WIN,M19,0,0,0,0,0,0,0,0,0,0,86.608,"0,4",351,0,0
54,2018-01-05,WIN,Q19,0,0,0,0,0,0,0,0,0,0,87.916,"0,4",377,0,0
55,2018-01-05,WIN,V19,0,0,0,0,0,0,0,0,0,0,89.319,"0,5",403,0,0
56,2018-01-05,WIN,Z19,0,0,0,0,0,0,0,0,0,0,90.742,"0,5",417,0,0
57,2018-01-05,WIN,G20,0,0,0,0,0,0,0,0,0,0,92.046,"0,5",430,0,0
60,2018-01-08,WIN,G18,73.560,80.107,438.556,1.599.762,25.426.835.373,79.800,79.050,79.925,79.471,79.840,79.829,"0,4",348,0,0
61,2018-01-08,WIN,J18,5,5,0,0,0,0,0,0,0,0,80.653,"0,4",350,0,0
62,2018-01-08,WIN,M18,0,0,0,0,0,0,0,0,0,0,81.361,"0,4",354,0,0
63,2018-01-08,WIN,Q18,0,0,0,0,0,0,0,0,0,0,82.231,"0,4",360,0,0
64,2018-01-08,WIN,V18,0,0,0,0,0,0,0,0,0,0,83.080,"0,4",367,0,0
65,2018-01-08,WIN,Z18,0,0,0,0,0,0,0,0,0,0,83.895,"0,5",376,0,0
66,2018-01-08,WIN,G19,0,0,0,0,0,0,0,0,0,0,84.892,"0,4",380,0,0
67,2018-01-08,WIN,J19,0,0,0,0,0,0,0,0,0,0,85.955,"0,4",382,0,0
68,2018-01-08,WIN,M19,0,0,0,0,0,0,0,0,0,0,86.988,"0,4",380,0,0
69,2018-01-08,WIN,Q19,0,0,0,0,0,0,0,0,0,0,88.299,"0,4",383,0,0
70,2018-01-08,WIN,V19,0,0,0,0,0,0,0,0,0,0,89.704,"0,4",385,0,0
71,2018-01-08,WIN,Z19,0,0,0,0,0,0,0,0,0,0,91.122,"0,4",380,0,0
72,2018-01-08,WIN,G20,0,0,0,0,0,0,0,0,0,0,92.418,"0,4",372,0,0
75,2018-01-09,WIN,G18,80.107,81.243,413.844,1.550.791,24.671.857.284,79.730,79.100,79.945,79.546,79.235,79.242,"0,7",587,0,0
76,2018-01-09,WIN,J18,5,5,1,1,16.023,80.115,80.115,80.115,80.115,80.115,80.058,"0,7",595,0,0
77,2018-01-09,WIN,M18,0,0,0,0,0,0,0,0,0,0,80.762,"0,7",599,0,0
78,2018-01-09,WIN,Q18,0,0,0,0,0,0,0,0,0,0,81.627,"0,7",604,0,0
79,2018-01-09,WIN,V18,0,0,0,0,0,0,0,0,0,0,82.472,"0,7",608,0,0
80,2018-01-09,WIN,Z18,0,0,0,0,0,0,0,0,0,0,83.279,"0,7",616,0,0
81,2018-01-09,WIN,G19,0,0,0,0,0,0,0,0,0,0,84.273,"0,7",619,0,0
82,2018-01-09,WIN,J19,0,0,0,0,0,0,0,0,0,0,85.335,"0,7",620,0,0
83,2018-01-09,WIN,M19,0,0,0,0,0,0,0,0,0,0,86.368,"0,7",620,0,0
84,2018-01-09,WIN,Q19,0,0,0,0,0,0,0,0,0,0,87.666,"0,7",633,0,0
85,2018-01-09,WIN,V19,0,0,0,0,0,0,0,0,0,0,89.059,"0,7",645,0,0
86,2018-01-09,WIN,Z19,0,0,0,0,0,0,0,0,0,0,90.478,"0,7",644,0,0
87,2018-01-09,WIN,G20,0,0,0,0,0,0,0,0,0,0,91.779,"0,7",639,0,0
90,2018-01-10,WIN,G18,81.243,84.898,440.123,1.541.018,24.279.808.122,78.880,78.510,79.020,78.778,78.675,78.638,"0,8",604,0,0
91,2018-01-10,WIN,J18,5,5,0,0,0,0,0,0,0,0,79.451,"0,8",607,0,0
92,2018-01-10,WIN,M18,0,0,0,0,0,0,0,0,0,0,80.155,"0,8",607,0,0
93,2018-01-10,WIN,Q18,0,0,0,0,0,0,0,0,0,0,81.020,"0,7",607,0,0
94,2018-01-10,WIN,V18,0,0,0,0,0,0,0,0,0,0,81.868,"0,7",604,0,0
95,2018-01-10,WIN,Z18,0,0,0,0,0,0,0,0,0,0,82.680,"0,7",599,0,0
96,2018-01-10,WIN,G19,0,0,0,0,0,0,0,0,0,0,83.678,"0,7",595,0,0
97,2018-01-10,WIN,J19,0,0,0,0,0,0,0,0,0,0,84.740,"0,7",595,0,0
98,2018-01-10,WIN,M19,0,0,0,0,0,0,0,0,0,0,85.765,"0,7",603,0,0
99,2018-01-10,WIN,Q19,0,0,0,0,0,0,0,0,0,0,87.065,"0,7",601,0,0
100,2018-01-10,WIN,V19,0,0,0,0,0,0,0,0,0,0,88.457,"0,7",602,0,0
101,2018-01-10,WIN,Z19,0,0,0,0,0,0,0,0,0,0,89.852,"0,7",626,0,0
102,2018-01-10,WIN,G20,0,0,0,0,0,0,0,0,0,0,91.135,"0,7",644,0,0
105,2018-01-11,WIN,G18,84.898,84.367,408.070,1.489.910,23.576.938.826,78.540,78.530,79.850,79.122,79.805,79.790,"1,5",1.152,0,0
106,2018-01-11,WIN,J18,5,6,2,2,32.096,79.985,79.985,80.495,80.240,80.495,80.622,"1,5",1.171,0,0
107,2018-01-11,WIN,M18,0,0,0,0,0,0,0,0,0,0,81.340,"1,5",1.185,0,0
108,2018-01-11,WIN,Q18,0,0,0,0,0,0,0,0,0,0,82.229,"1,5",1.209,0,0
109,2018-01-11,WIN,V18,0,0,0,0,0,0,0,0,0,0,83.091,"1,5",1.223,0,0
110,2018-01-11,WIN,Z18,0,0,0,0,0,0,0,0,0,0,83.912,"1,5",1.232,0,0
111,2018-01-11,WIN,G19,0,0,0,0,0,0,0,0,0,0,84.919,"1,5",1.241,0,0
112,2018-01-11,WIN,J19,0,0,0,0,0,0,0,0,0,0,85.992,"1,5",1.252,0,0
113,2018-01-11,WIN,M19,0,0,0,0,0,0,0,0,0,0,87.033,"1,5",1.268,0,0
114,2018-01-11,WIN,Q19,0,0,0,0,0,0,0,0,0,0,88.339,"1,5",1.274,0,0
115,2018-01-11,WIN,V19,0,0,0,0,0,0,0,0,0,0,89.740,"1,5",1.283,0,0
116,2018-01-11,WIN,Z19,0,0,0,0,0,0,0,0,0,0,91.164,"1,5",1.312,0,0
117,2018-01-11,WIN,G20,0,0,0,0,0,0,0,0,0,0,92.467,"1,5",1.332,0,0
