time,open,high,low,close,tick_volume,spread,real_volume,ticker
2009-01-02,38.28,40.32,37.94,40.32,91,1,119900,BOVA11
2009-01-05,40.2,42.0,39.7,42.0,83,1,341700,BOVA11
2009-01-06,42.06,42.32,41.55,42.32,114,1,178300,BOVA11
2009-01-07,41.75,41.77,40.45,40.64,74,1,73400,BOVA11
2009-01-08,40.15,42.2,40.15,42.2,74,1,195300,BOVA11
2009-01-09,41.98,42.47,41.16,42.0,150,1,271900,BOVA11
2009-01-12,40.71,40.75,39.38,39.7,45,1,37700,BOVA11
2009-01-13,38.76,40.26,38.54,40.0,66,1,177300,BOVA11
2009-01-14,39.4,39.47,37.7,38.03,54,1,205500,BOVA11
2009-01-15,37.89,39.36,36.93,39.36,77,1,120500,BOVA11
2009-01-16,39.68,39.84,38.66,39.49,107,1,177700,BOVA11
2009-01-19,39.71,39.83,38.62,38.95,44,1,324700,BOVA11
2009-01-20,38.51,39.06,37.35,38.99,23,1,19400,BOVA11
2009-01-21,37.95,38.85,37.37,38.85,50,1,32900,BOVA11
2009-01-22,38.8,38.8,37.4,38.24,199,1,417600,BOVA11
2009-01-23,37.01,38.43,36.8,38.08,43,1,118500,BOVA11
2009-01-26,38.06,39.5,37.91,39.0,44,1,77700,BOVA11
2009-01-27,38.51,38.99,38.32,38.99,27,1,49400,BOVA11
2009-01-28,39.37,40.9,39.37,40.9,56,1,37300,BOVA11
2009-01-29,39.74,40.81,39.37,39.6,79,1,363500,BOVA11
2009-01-30,39.27,40.2,39.27,39.6,35,1,126400,BOVA11
2009-02-02,38.68,39.3,38.5,39.0,19,1,7800,BOVA11
2009-02-03,38.69,40.0,38.69,40.0,164,1,162400,BOVA11
2009-02-04,40.08,41.35,39.94,40.4,126,1,114100,BOVA11
2009-02-05,40.36,41.5,39.72,41.5,32,1,9000,BOVA11
2009-02-06,41.63,43.2,41.6,43.2,65,1,294500,BOVA11
2009-02-09,42.71,43.29,41.92,42.0,46,1,138100,BOVA11
2009-02-10,42.35,42.72,40.96,41.34,41,1,118200,BOVA11
2009-02-11,41.37,41.86,40.32,41.0,55,1,48700,BOVA11
2009-02-12,40.3,40.95,39.93,40.79,54,1,76800,BOVA11
2009-02-13,41.87,41.87,41.04,41.85,18,1,4400,BOVA11
2009-02-16,41.16,41.99,40.9,41.99,18,1,33200,BOVA11
2009-02-17,40.32,40.75,39.74,40.0,55,1,93500,BOVA11
2009-02-18,40.2,40.35,39.11,39.99,49,1,74800,BOVA11
2009-02-19,40.0,40.26,39.66,40.0,27,1,20200,BOVA11
2009-02-20,39.51,39.51,37.99,39.2,69,1,70900,BOVA11
2009-02-25,39.3,39.3,37.95,38.65,32,1,51100,BOVA11
2009-02-26,38.86,39.07,38.26,38.75,58,1,87600,BOVA11
2009-02-27,37.3,38.75,37.3,38.75,147,1,124400,BOVA11
2009-03-02,38.4,38.4,36.1,36.6,162,1,120100,BOVA11
2009-03-03,36.48,37.03,35.73,36.77,83,1,211500,BOVA11
2009-03-04,37.85,38.95,37.35,38.8,75,1,144300,BOVA11
2009-03-05,37.84,38.0,36.91,37.3,54,1,88500,BOVA11
2009-03-06,37.72,38.25,36.51,37.5,58,1,73400,BOVA11
2009-03-09,36.4,37.41,36.4,37.0,40,1,38000,BOVA11
2009-03-10,38.0,38.9,37.0,38.9,97,1,314000,BOVA11
2009-03-11,39.01,39.23,38.27,38.85,83,1,108000,BOVA11
2009-03-12,38.42,39.5,38.31,39.5,47,1,138900,BOVA11
2009-03-13,39.6,39.63,38.5,39.2,61,1,139500,BOVA11
2009-03-16,39.2,39.68,38.45,38.75,128,1,321600,BOVA11
2009-03-17,38.29,39.79,37.97,39.79,67,1,100200,BOVA11
2009-03-18,39.7,40.56,38.82,40.3,167,1,232500,BOVA11
2009-03-19,40.99,41.09,40.41,40.6,68,1,245900,BOVA11
2009-03-20,40.52,40.65,40.0,40.2,49,1,51700,BOVA11
2009-03-23,41.35,42.6,41.0,42.6,104,1,430300,BOVA11
2009-03-24,41.73,41.98,41.5,41.6,51,1,167400,BOVA11
2009-03-25,41.87,42.5,41.03,41.8,73,1,488500,BOVA11
2009-03-26,42.24,42.7,41.92,42.7,70,1,501900,BOVA11
2009-03-27,41.85,41.98,41.51,41.74,61,1,494500,BOVA11
2009-03-30,40.99,41.01,40.38,40.9,67,1,176200,BOVA11
2009-03-31,41.94,41.95,40.57,40.57,63,1,287600,BOVA11
2009-04-01,40.33,42.1,40.11,42.1,55,1,300500,BOVA11
2009-04-02,43.32,44.12,43.18,43.7,123,1,429600,BOVA11
2009-04-03,43.81,44.55,43.46,44.55,91,1,538500,BOVA11
2009-04-06,44.58,44.58,43.33,44.35,78,1,599200,BOVA11
2009-04-07,43.8,44.22,43.53,44.05,44,1,422100,BOVA11
2009-04-08,44.0,44.55,43.6,44.3,117,1,462100,BOVA11
2009-04-09,45.5,45.55,45.05,45.5,50,1,346100,BOVA11
2009-04-13,45.05,46.04,45.05,46.0,122,1,671900,BOVA11
2009-04-14,45.75,46.34,45.12,45.5,89,1,148300,BOVA11
2009-04-15,45.5,45.5,44.74,45.5,57,1,314400,BOVA11
2009-04-16,45.7,46.1,45.2,46.0,59,1,272400,BOVA11
2009-04-17,45.7,45.98,45.6,45.85,50,1,274700,BOVA11
2009-04-20,44.79,44.9,44.07,44.42,102,1,265800,BOVA11
2009-04-22,44.61,45.24,44.51,44.99,81,1,234800,BOVA11
2009-04-23,45.19,45.9,44.86,45.9,84,1,305900,BOVA11
2009-04-24,46.17,46.85,46.1,46.69,162,1,325600,BOVA11
2009-04-27,45.9,46.4,45.5,45.9,101,1,334500,BOVA11
2009-04-28,45.0,46.03,44.9,45.85,97,1,1964600,BOVA11
2009-04-29,46.21,47.25,46.12,46.8,103,1,359200,BOVA11
2009-04-30,47.3,48.1,47.23,48.1,50,1,276900,BOVA11
2009-05-04,48.5,50.01,48.35,50.01,166,1,1215900,BOVA11
2009-05-05,49.95,50.68,49.73,50.66,70,1,98900,BOVA11
2009-05-06,50.61,52.81,50.61,51.37,137,1,452400,BOVA11
2009-05-07,52.01,52.01,49.41,50.06,116,1,263000,BOVA11
2009-05-08,50.27,51.37,50.03,51.37,116,1,315400,BOVA11
2009-05-11,50.18,51.01,49.79,51.01,78,1,386900,BOVA11
2009-05-12,51.31,51.31,49.66,50.31,91,1,206600,BOVA11
2009-05-13,48.9,49.1,48.1,48.1,114,1,271500,BOVA11
2009-05-14,48.16,49.42,48.16,49.42,63,1,409000,BOVA11
2009-05-15,49.01,49.3,48.58,49.0,279,1,413600,BOVA11
2009-05-18,49.27,51.46,49.27,51.46,205,1,543500,BOVA11
2009-05-19,51.35,51.89,50.82,51.43,144,1,538900,BOVA11
2009-05-20,51.85,52.25,50.87,51.21,97,1,115100,BOVA11
2009-05-21,50.16,50.34,49.4,50.0,191,1,284300,BOVA11
2009-05-22,50.81,50.81,49.81,50.7,76,1,862100,BOVA11
2009-05-25,50.58,50.91,50.41,50.91,50,1,429400,BOVA11
2009-05-26,49.96,51.81,49.96,51.81,75,1,452400,BOVA11
2009-05-27,52.12,52.86,51.29,51.71,78,1,109300,BOVA11
2009-05-28,52.36,53.01,51.87,53.01,75,1,215700,BOVA11
2009-05-29,54.01,54.01,52.18,53.11,86,1,121600,BOVA11
2009-06-01,53.53,54.56,53.53,54.15,73,1,109300,BOVA11
2009-06-02,53.6,54.68,53.59,53.71,737,1,216400,BOVA11
2009-06-03,53.13,53.14,51.46,52.01,182,1,725700,BOVA11
2009-06-04,52.41,53.31,51.5,53.31,76,1,741400,BOVA11
2009-06-05,54.41,54.86,52.77,52.77,137,1,661200,BOVA11
