time,open,high,low,close,tick_volume,spread,real_volume,ticker
2017-11-30,3963.796,4021.101,3958.309,4001.593,264795,1,906377,WDO$
2017-12-01,4008.298,4017.443,3972.33,3983.304,242126,1,849198,WDO$
2017-12-04,3982.084,3988.181,3963.186,3965.015,158138,1,538295,WDO$
2017-12-05,3967.453,3968.673,3936.362,3961.967,202297,1,734925,WDO$
2017-12-06,3966.844,3971.111,3941.849,3954.651,191337,1,695345,WDO$
2017-12-07,3968.673,4055.849,3968.673,4022.929,279279,1,1053096,WDO$
2017-12-08,4005.25,4045.486,3990.619,4022.32,238526,1,779276,WDO$
2017-12-11,4016.833,4039.999,3998.544,4037.561,179736,1,586441,WDO$
2017-12-12,4029.635,4072.919,4028.416,4038.17,231738,1,805577,WDO$
2017-12-13,4022.929,4068.652,4015.004,4043.047,289208,1,921617,WDO$
2017-12-14,4055.849,4086.331,4041.828,4080.234,252350,1,870611,WDO$
2017-12-15,4072.309,4074.748,4021.101,4021.101,211762,1,729166,WDO$
2017-12-18,4025.368,4029.026,4001.593,4017.443,193957,1,626957,WDO$
2017-12-19,4024.149,4036.951,4005.86,4014.395,185963,1,655261,WDO$
2017-12-20,4012.566,4025.978,4004.031,4023.539,165566,1,553768,WDO$
2017-12-21,4019.881,4046.705,4015.614,4036.341,193453,1,687578,WDO$
2017-12-22,4031.464,4072.919,4029.026,4069.261,164505,1,559017,WDO$
2017-12-26,4060.117,4063.775,4030.855,4035.732,113419,1,374522,WDO$
2017-12-27,4027.197,4050.363,4016.224,4042.438,151772,1,503934,WDO$
2017-12-28,4029.09,4048.505,4013.923,4039.404,110568,1,337621,WDO$
2018-01-02,4011.496,4011.496,3965.993,3968.42,160351,1,571300,WDO$
2018-01-03,3959.32,3976.914,3936.265,3940.512,215426,1,726808,WDO$
2018-01-04,3936.872,3948.399,3922.311,3938.692,189632,1,656971,WDO$
2018-01-05,3937.479,3955.073,3927.165,3930.805,185811,1,643249,WDO$
2018-01-08,3933.838,3949.613,3925.345,3944.759,175565,1,598470,WDO$
2018-01-09,3949.613,3962.353,3930.805,3955.073,223033,1,761238,WDO$
2018-01-10,3959.926,3962.353,3926.558,3928.985,239035,1,822685,WDO$
2018-01-11,3933.232,3938.085,3907.144,3910.784,201471,1,702800,WDO$
2018-01-12,3917.457,3927.165,3890.763,3899.257,246590,1,839971,WDO$
2018-01-15,3888.943,3915.031,3881.662,3911.39,153984,1,543552,WDO$
2018-01-16,3909.57,3936.265,3905.93,3919.884,238655,1,846385,WDO$
2018-01-17,3927.165,3937.479,3905.324,3919.884,206612,1,725424,WDO$
2018-01-18,3915.637,3920.491,3892.583,3898.043,224978,1,798273,WDO$
2018-01-19,3898.65,3906.537,3882.269,3884.089,169755,1,627052,WDO$
