date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume,SPXI11_open,SPXI11_high,SPXI11_low,SPXI11_close,SPXI11_tick_volume,SPXI11_spread,SPXI11_tick_volume
2021-07-19 10:27:00,10.0,10.0,10.0,10.0,27,1,5000,10.45,10.45,10.45,10.45,6.0,1.0,6.0,286.19,286.19,286.12,286.12,5,1,5,10.1,10.1,10.1,10.1,1.0,1.0,1.0,137.2,137.2,137.2,137.2,1,1,1
2021-07-19 10:33:00,9.84,9.84,9.84,9.84,19,1,10000,10.91,10.91,10.91,10.91,4.0,1.0,4.0,286.12,286.3,286.12,286.24,16,1,16,12.0,12.0,12.0,12.0,5.0,1.0,5.0,137.79,137.8,137.79,137.8,2,1,2
2021-07-19 10:39:00,10.0,10.0,10.0,10.0,102,1,1226,11.0,11.0,11.0,11.0,1.0,1.0,1.0,286.29,286.39,286.24,286.35,17,1,17,12.0,12.0,12.0,12.0,1.0,1.0,1.0,137.78,137.78,137.78,137.78,1,1,1
2021-07-19 10:41:00,10.0,10.0,10.0,10.0,2,1,15,11.0,11.0,11.0,11.0,1.0,1.0,1.0,286.43,286.55,286.43,286.5,8,1,8,12.0,12.0,12.0,12.0,1.0,1.0,1.0,137.78,137.78,137.78,137.78,1,1,1
2021-07-19 10:42:00,10.0,10.0,10.0,10.0,1,1,9,12.42,12.42,12.42,12.42,6.0,1.0,6.0,286.59,286.59,286.59,286.59,4,1,4,12.0,12.28,12.0,12.28,2.0,1.0,2.0,136.74,136.74,136.74,136.74,1,1,1
2021-07-19 10:43:00,10.0,10.0,10.0,10.0,1,1,161,13.0,13.0,13.0,13.0,6.0,1.0,6.0,286.59,286.59,286.52,286.59,7,1,7,12.28,12.28,12.28,12.28,1.0,1.0,1.0,136.5,136.5,136.5,136.5,1,1,1
2021-07-19 10:45:00,10.0,10.0,10.0,10.0,1,1,10,16.0,16.0,16.0,16.0,15.0,1.0,15.0,286.69,286.69,286.49,286.59,7,1,7,12.28,12.28,12.28,12.28,1.0,1.0,1.0,136.61,136.63,136.61,136.61,5,1,5
2021-07-19 10:47:00,10.0,10.0,10.0,10.0,1,1,200,18.25,18.25,18.25,18.25,12.0,1.0,12.0,286.55,286.59,286.46,286.59,21,1,21,11.0,11.0,11.0,11.0,9.0,1.0,9.0,136.55,136.56,136.54,136.56,4,1,4
2021-07-19 10:48:00,9.95,9.95,9.9,9.9,2,1,51,18.24,18.24,18.24,18.24,1.0,1.0,1.0,286.59,286.64,286.58,286.62,14,1,14,11.8,11.8,11.8,11.8,1.0,1.0,1.0,136.59,136.59,136.57,136.57,4,1,4
2021-07-19 10:49:00,9.89,9.89,9.89,9.89,1,1,99,14.0,14.0,13.83,13.83,38.0,1.0,38.0,286.62,286.7,286.56,286.7,7,1,7,11.0,11.0,11.0,11.0,2.0,1.0,2.0,136.55,136.57,136.52,136.57,4,1,4
2021-07-19 10:50:00,9.89,9.89,9.89,9.89,1,1,4,14.0,14.0,14.0,14.0,7.0,1.0,7.0,286.72,286.82,286.64,286.64,21,1,21,11.99,11.99,11.99,11.99,1.0,1.0,1.0,136.62,136.62,136.58,136.61,4,1,4
2021-07-19 10:51:00,9.88,9.88,9.88,9.88,1,1,1,13.99,14.0,13.99,14.0,2.0,1.0,2.0,286.66,286.79,286.66,286.71,13,1,13,11.99,11.99,11.99,11.99,1.0,1.0,1.0,136.58,136.61,136.58,136.61,4,1,4
2021-07-19 10:54:00,9.85,9.85,9.85,9.85,1,1,99,14.0,14.0,13.72,13.72,6.0,1.0,6.0,286.77,286.77,286.75,286.75,3,1,3,11.99,11.99,11.99,11.99,1.0,1.0,1.0,136.56,136.6,136.56,136.56,5,1,5
2021-07-19 10:55:00,9.85,9.85,9.85,9.85,3,1,1490,13.0,13.0,13.0,13.0,16.0,1.0,16.0,286.86,286.98,286.76,286.92,8,1,8,11.7,11.7,11.7,11.7,1.0,1.0,1.0,136.55,136.55,136.5,136.51,5,1,5
2021-07-19 10:56:00,9.85,9.85,9.85,9.85,1,1,15,12.5,12.5,12.42,12.42,10.0,1.0,10.0,287.0,287.19,287.0,287.19,20,1,20,11.6,11.6,11.6,11.6,1.0,1.0,1.0,136.48,136.54,136.48,136.54,5,1,5
2021-07-19 10:57:00,9.85,9.85,9.85,9.85,1,1,10,11.5,11.5,11.5,11.5,28.0,1.0,28.0,287.19,287.28,287.02,287.14,15,1,15,11.6,11.6,11.5,11.5,2.0,1.0,2.0,136.59,136.59,136.55,136.55,4,1,4
2021-07-19 11:01:00,9.85,9.85,9.85,9.85,1,1,2,11.68,11.68,11.68,11.68,14.0,1.0,14.0,287.14,287.18,287.07,287.08,15,1,15,11.75,11.75,11.75,11.75,1.0,1.0,1.0,136.53,137.78,136.5,136.53,4,1,4
2021-07-19 11:02:00,9.85,9.85,9.85,9.85,1,1,10,11.4,11.4,11.4,11.4,24.0,1.0,24.0,287.19,287.19,287.08,287.08,9,1,9,11.98,11.98,11.98,11.98,1.0,1.0,1.0,136.49,136.52,136.49,136.52,4,1,4
2021-07-19 11:03:00,9.85,9.85,9.85,9.85,1,1,200,11.39,11.39,11.39,11.39,1.0,1.0,1.0,287.15,287.15,286.99,286.99,10,1,10,11.85,11.85,11.85,11.85,1.0,1.0,1.0,136.5,136.54,136.5,136.54,5,1,5
2021-07-19 11:08:00,9.85,9.85,9.85,9.85,8,1,7790,11.07,11.39,11.07,11.07,3.0,1.0,3.0,287.05,287.15,287.04,287.15,8,1,8,11.9,11.9,11.9,11.9,1.0,1.0,1.0,136.53,136.57,136.53,136.57,5,1,5
