date,META11_open,META11_high,META11_low,META11_close,META11_tick_volume,META11_spread,META11_real_volume,ETHE11_open,ETHE11_high,ETHE11_low,ETHE11_close,ETHE11_tick_volume,ETHE11_spread,ETHE11_tick_volume,WEB311_open,WEB311_high,WEB311_low,WEB311_close,WEB311_tick_volume,WEB311_spread,WEB311_tick_volume,NFTS11_open,NFTS11_high,NFTS11_low,NFTS11_close,NFTS11_tick_volume,NFTS11_spread,NFTS11_tick_volume,BLOK11_open,BLOK11_high,BLOK11_low,BLOK11_close,BLOK11_tick_volume,BLOK11_spread,BLOK11_tick_volume
2022-06-03 10:30:00,53.0,53.0,53.0,53.0,8,1,65,49.8,49.98,49.0,49.0,41,1,41,48.6,48.6,48.6,48.6,7,1,7,100.0,100.0,100.0,100.0,7,1,7,102.3,102.3,102.3,102.3,1.0,1.0,1.0
2022-06-03 10:33:00,53.0,53.0,53.0,53.0,1,1,10,48.3,48.3,48.3,48.3,14,1,14,48.45,48.45,48.35,48.35,2,1,2,99.51,99.51,99.51,99.51,1,1,1,96.4,96.4,96.4,96.4,1.0,1.0,1.0
2022-06-03 10:40:00,51.0,51.0,51.0,51.0,3,1,6,48.3,48.3,48.3,48.3,3,1,3,48.25,48.57,48.09,48.57,4,1,4,100.99,100.99,100.99,100.99,1,1,1,102.44,102.44,102.44,102.44,1.0,1.0,1.0
2022-06-03 10:41:00,50.42,51.0,50.0,51.0,4,1,12,48.41,48.41,48.41,48.41,1,1,1,48.57,48.57,48.57,48.57,1,1,1,101.98,102.97,101.98,102.97,5,1,5,101.5,101.5,101.5,101.5,1.0,1.0,1.0
2022-06-03 10:42:00,50.0,50.0,50.0,50.0,1,1,5,48.4,48.58,48.4,48.58,3,1,3,48.57,48.57,48.57,48.57,2,1,2,107.6,107.6,107.6,107.6,7,1,7,95.6,95.6,95.6,95.6,1.0,1.0,1.0
2022-06-03 10:44:00,50.0,50.0,50.0,50.0,1,1,1,48.57,48.57,48.57,48.57,2,1,2,48.59,48.6,48.59,48.6,2,1,2,107.6,107.6,107.6,107.6,1,1,1,95.8,95.8,95.8,95.8,1.0,1.0,1.0
2022-06-03 10:45:00,50.75,50.75,50.75,50.75,1,1,1,48.51,48.54,48.35,48.36,63,1,63,48.59,48.59,48.59,48.59,1,1,1,110.0,110.0,110.0,110.0,5,1,5,95.36,95.36,95.36,95.36,1.0,1.0,1.0
2022-06-03 10:48:00,50.0,50.0,50.0,50.0,4,1,28,48.42,48.53,48.42,48.53,19,1,19,48.6,48.6,48.6,48.6,1,1,1,110.0,110.0,110.0,110.0,1,1,1,90.96,90.96,90.96,90.96,1.0,1.0,1.0
2022-06-03 10:51:00,50.0,50.0,48.25,48.25,4,1,6,48.45,48.45,48.4,48.42,5,1,5,48.5,48.5,48.15,48.15,7,1,7,109.98,109.98,109.98,109.98,1,1,1,95.95,95.95,95.95,95.95,1.0,1.0,1.0
2022-06-03 10:58:00,47.5,47.5,47.5,47.5,8,1,27,48.46,48.46,48.42,48.42,4,1,4,48.1,48.1,47.95,47.95,6,1,6,107.6,107.6,107.6,107.6,1,1,1,103.04,103.04,103.04,103.04,2.0,1.0,2.0
2022-06-03 11:00:00,50.0,50.0,50.0,50.0,1,1,1,48.41,48.42,48.41,48.42,2,1,2,48.05,48.05,47.95,47.95,2,1,2,107.6,107.6,107.6,107.6,1,1,1,107.66,107.66,107.66,107.66,1.0,1.0,1.0
2022-06-03 11:05:00,50.0,50.0,50.0,50.0,1,1,1,48.5,48.5,48.33,48.33,7,1,7,48.15,48.15,48.15,48.15,1,1,1,109.05,109.98,109.05,109.98,3,1,3,94.41,94.41,94.41,94.41,2.0,1.0,2.0
2022-06-03 11:06:00,47.5,47.5,47.5,47.5,2,1,100,48.48,48.48,48.3,48.3,4,1,4,48.3,48.3,48.2,48.2,3,1,3,109.98,109.98,109.98,109.98,2,1,2,94.81,94.81,94.81,94.81,1.0,1.0,1.0
2022-06-03 11:08:00,46.8,46.8,45.0,45.0,2,1,2,48.22,48.22,48.18,48.18,3,1,3,48.3,48.3,48.3,48.3,1,1,1,99.0,99.0,99.0,99.0,30,1,30,94.0,94.0,94.0,94.0,1.0,1.0,1.0
