date,JOPA3_open,JOPA3_high,JOPA3_low,JOPA3_close,JOPA3_tick_volume,JOPA3_spread,JOPA3_real_volume,JOPA4_open,JOPA4_high,JOPA4_low,JOPA4_close,JOPA4_tick_volume,JOPA4_spread,JOPA4_tick_volume,CGRA3_open,CGRA3_high,CGRA3_low,CGRA3_close,CGRA3_tick_volume,CGRA3_spread,CGRA3_tick_volume,CGRA4_open,CGRA4_high,CGRA4_low,CGRA4_close,CGRA4_tick_volume,CGRA4_spread,CGRA4_tick_volume,SLED3_open,SLED3_high,SLED3_low,SLED3_close,SLED3_tick_volume,SLED3_spread,SLED3_tick_volume
2011-05-25 13:29:00,12.24,12.24,12.24,12.24,1,1,100,18.84,18.84,18.84,18.84,5.0,1.0,5.0,11.76,11.76,11.76,11.76,1,1,1,11.12,11.12,11.12,11.12,1,1,1,434.22,434.22,434.22,434.22,6,1,6
2011-06-10 12:03:00,12.24,12.24,12.24,12.24,1,1,300,18.84,18.84,18.84,18.84,1.0,1.0,1.0,11.59,11.59,11.59,11.59,1,1,1,11.03,11.03,11.03,11.03,9,1,9,434.22,434.22,434.22,434.22,3,1,3
2011-08-01 15:44:00,12.24,12.24,12.24,12.24,1,1,900,17.94,17.94,17.94,17.94,1.0,1.0,1.0,11.59,11.75,11.59,11.75,2,1,2,10.97,10.97,10.97,10.97,1,1,1,414.48,414.48,414.48,414.48,1,1,1
2011-08-08 11:29:00,12.24,12.24,12.24,12.24,3,1,10000,17.94,17.94,17.94,17.94,4.0,1.0,4.0,11.75,11.75,11.75,11.75,2,1,2,11.03,11.03,11.03,11.03,1,1,1,435.6,435.6,435.6,435.6,9,1,9
2011-08-30 14:16:00,12.24,12.24,12.24,12.24,1,1,100,17.94,17.94,17.94,17.94,2.0,1.0,2.0,11.75,11.75,11.75,11.75,3,1,3,10.97,10.97,10.97,10.97,1,1,1,435.6,435.6,435.6,435.6,1,1,1
2011-09-01 11:08:00,12.24,12.24,12.24,12.24,1,1,900,17.95,17.95,17.95,17.95,4.0,1.0,4.0,10.87,10.87,10.87,10.87,3,1,3,10.86,10.86,10.85,10.85,2,1,2,435.6,435.6,435.6,435.6,1,1,1
2011-09-26 16:59:00,12.24,12.24,12.24,12.24,1,1,4900,17.94,17.94,17.94,17.94,1.0,1.0,1.0,11.75,11.75,11.75,11.75,6,1,6,10.85,10.85,10.85,10.85,1,1,1,448.23,448.23,448.23,448.23,1,1,1
2011-09-26 17:00:00,12.24,12.24,12.24,12.24,1,1,4900,17.94,17.94,17.94,17.94,3.0,1.0,3.0,11.75,11.75,11.75,11.75,3,1,3,11.0,11.0,11.0,11.0,1,1,1,448.23,448.23,448.23,448.23,1,1,1
2011-10-04 16:59:00,12.24,12.24,12.24,12.24,1,1,3400,16.75,16.75,16.75,16.75,1.0,1.0,1.0,11.75,11.75,11.75,11.75,2,1,2,11.01,11.01,11.01,11.01,1,1,1,448.07,448.07,448.07,448.07,1,1,1
2011-10-04 17:00:00,12.24,12.24,12.24,12.24,1,1,3400,17.94,17.94,17.94,17.94,1.0,1.0,1.0,10.89,10.89,10.89,10.89,3,1,3,10.86,10.86,10.85,10.85,2,1,2,448.27,448.27,448.27,448.27,1,1,1
2011-10-10 10:10:00,12.24,12.24,12.24,12.24,1,1,1800,16.78,16.78,16.78,16.78,6.0,1.0,6.0,11.43,11.43,11.43,11.43,1,1,1,11.0,11.01,11.0,11.01,2,1,2,452.59,452.59,452.59,452.59,1,1,1
2011-10-26 17:59:00,12.24,12.24,12.24,12.24,1,1,10800,16.75,16.75,16.75,16.75,1.0,1.0,1.0,11.65,11.74,11.65,11.74,2,1,2,10.86,10.86,10.79,10.79,3,1,3,452.8,452.8,452.8,452.8,1,1,1
2011-11-24 11:15:00,12.24,12.24,12.24,12.24,1,1,11700,16.75,16.75,16.75,16.75,1.0,1.0,1.0,11.22,11.22,11.22,11.22,5,1,5,10.79,10.79,10.79,10.79,1,1,1,541.05,541.05,541.05,541.05,2,1,2
2011-12-16 16:50:00,12.24,12.24,12.24,12.24,1,1,24500,17.94,17.94,17.94,17.94,1.0,1.0,1.0,11.55,11.55,11.46,11.46,2,1,2,10.95,10.95,10.95,10.95,1,1,1,541.05,541.05,541.05,541.05,1,1,1
2012-03-05 12:00:00,12.24,12.24,12.24,12.24,1,1,8100,17.34,17.34,17.34,17.34,2.0,1.0,2.0,11.77,11.77,11.77,11.77,2,1,2,10.92,10.92,10.92,10.92,1,1,1,555.46,555.46,555.46,555.46,1,1,1
2012-10-23 16:59:00,12.31,12.31,12.31,12.31,3,1,6500,18.84,18.84,18.84,18.84,2.0,1.0,2.0,11.4,11.4,11.4,11.4,1,1,1,11.03,11.03,11.03,11.03,1,1,1,534.88,534.88,534.88,534.88,1,1,1
2012-10-24 16:59:00,12.31,12.31,12.31,12.31,3,1,3900,18.84,18.84,18.84,18.84,1.0,1.0,1.0,11.77,11.77,11.77,11.77,1,1,1,10.97,10.97,10.97,10.97,1,1,1,534.88,534.88,534.88,534.88,1,1,1
2012-10-25 16:59:00,12.31,12.31,12.31,12.31,2,1,29700,20.33,20.33,20.33,20.33,1.0,1.0,1.0,11.46,11.46,11.46,11.46,1,1,1,10.91,10.91,10.91,10.91,1,1,1,534.88,534.88,534.88,534.88,1,1,1
