date,GENB11_open,GENB11_high,GENB11_low,GENB11_close,GENB11_tick_volume,GENB11_spread,GENB11_real_volume,SVAL11_open,SVAL11_high,SVAL11_low,SVAL11_close,SVAL11_tick_volume,SVAL11_spread,SVAL11_tick_volume,HTEK11_open,HTEK11_high,HTEK11_low,HTEK11_close,HTEK11_tick_volume,HTEK11_spread,HTEK11_tick_volume,MILL11_open,MILL11_high,MILL11_low,MILL11_close,MILL11_tick_volume,MILL11_spread,MILL11_tick_volume,SHOT11_open,SHOT11_high,SHOT11_low,SHOT11_close,SHOT11_tick_volume,SHOT11_spread,SHOT11_tick_volume
2021-07-26 10:51:00,10.03,10.03,10.03,10.03,2,1,52,98.87,98.87,98.87,98.87,1.0,1.0,1.0,50.47,50.47,50.47,50.47,1,1,1,50.08,50.08,50.08,50.08,1,1,1,50.6,50.6,50.6,50.6,19,1,19
2021-07-26 11:09:00,10.06,10.06,10.06,10.06,1,1,4,98.85,98.85,98.85,98.85,1.0,1.0,1.0,50.4,50.4,50.4,50.4,1,1,1,50.0,50.0,50.0,50.0,2,1,2,50.6,50.6,50.6,50.6,5,1,5
2021-07-26 11:11:00,10.05,10.05,10.05,10.05,1,1,50,98.6,98.6,98.6,98.6,1.0,1.0,1.0,50.55,50.55,50.55,50.55,1,1,1,49.54,49.54,49.54,49.54,1,1,1,50.6,50.6,50.6,50.6,3,1,3
2021-07-26 11:20:00,10.03,10.03,10.03,10.03,1,1,4,99.16,99.16,99.16,99.16,1.0,1.0,1.0,50.64,50.64,50.64,50.64,1,1,1,49.53,49.53,49.53,49.53,4,1,4,50.6,50.6,50.6,50.6,5,1,5
2021-07-26 11:35:00,10.03,10.03,10.03,10.03,1,1,100,98.76,98.76,98.76,98.76,1.0,1.0,1.0,50.59,50.59,50.59,50.59,1,1,1,49.89,49.89,49.89,49.89,1,1,1,50.6,50.6,50.6,50.6,2,1,2
2021-07-26 11:52:00,10.03,10.03,10.03,10.03,1,1,200,98.59,98.59,98.59,98.59,1.0,1.0,1.0,50.59,50.59,50.55,50.55,3,1,3,49.86,49.86,49.86,49.86,1,1,1,50.6,50.6,50.6,50.6,3,1,3
2021-07-26 12:17:00,10.04,10.04,10.04,10.04,1,1,5,98.0,98.0,98.0,98.0,1.0,1.0,1.0,50.55,50.55,50.55,50.55,1,1,1,49.86,49.86,49.86,49.86,1,1,1,50.6,50.62,50.58,50.58,6,1,6
2021-07-26 12:21:00,10.05,10.05,10.05,10.05,1,1,20,98.0,98.0,98.0,98.0,1.0,1.0,1.0,50.58,50.58,50.57,50.57,2,1,2,49.96,49.96,49.96,49.96,1,1,1,50.6,50.6,50.52,50.52,5,1,5
2021-07-26 12:41:00,10.04,10.04,10.04,10.04,1,1,1,97.25,97.25,97.25,97.25,1.0,1.0,1.0,50.58,50.58,50.58,50.58,1,1,1,49.94,49.94,49.94,49.94,1,1,1,50.55,50.55,50.55,50.55,2,1,2
2021-07-26 12:45:00,10.05,10.05,10.05,10.05,1,1,5,98.26,98.51,98.26,98.51,2.0,1.0,2.0,50.64,50.64,50.64,50.64,1,1,1,50.15,50.15,50.15,50.15,1,1,1,50.5,50.5,50.5,50.5,7,1,7
