time,open,high,low,close,tick_volume,spread,real_volume,ticker
2012-11-22,7.6899999999999995,7.74,7.54,7.62,22830,1,16507800,PETR4
2012-11-23,7.62,7.84,7.5600000000000005,7.83,23663,1,19156300,PETR4
2012-11-26,7.82,7.82,7.64,7.6899999999999995,24913,1,17626200,PETR4
2012-11-27,7.73,7.88,7.55,7.5600000000000005,33898,1,30811400,PETR4
2012-11-28,7.53,7.6899999999999995,7.5,7.62,37598,1,25118600,PETR4
2012-11-29,7.76,7.82,7.66,7.82,32541,1,25743300,PETR4
2012-11-30,7.8,7.88,7.5600000000000005,7.62,34921,1,35842100,PETR4
2012-12-03,7.71,7.78,7.64,7.76,22375,1,21007700,PETR4
2012-12-04,7.78,7.82,7.67,7.6899999999999995,28010,1,23849800,PETR4
2012-12-05,7.76,7.77,7.66,7.74,21071,1,16531600,PETR4
2012-12-06,7.73,7.75,7.64,7.64,20626,1,19309000,PETR4
2012-12-07,7.67,7.8,7.62,7.8,19020,1,16639700,PETR4
2012-12-10,7.78,8.0,7.74,8.0,27109,1,22778100,PETR4
2012-12-11,8.04,8.17,8.01,8.17,36377,1,27189100,PETR4
2012-12-12,8.14,8.19,8.04,8.11,38848,1,34315500,PETR4
2012-12-13,8.06,8.1,7.97,8.0,37373,1,32335100,PETR4
2012-12-14,8.0,8.29,7.98,8.26,45956,1,44404300,PETR4
2012-12-17,8.2,8.23,8.09,8.14,29674,1,27026300,PETR4
2012-12-18,8.11,8.28,8.11,8.24,29193,1,24468900,PETR4
2012-12-19,8.34,8.58,8.34,8.55,48608,1,48168500,PETR4
2012-12-20,8.53,8.62,8.43,8.6,32648,1,25235000,PETR4
2012-12-21,8.44,8.47,8.33,8.45,24441,1,29221200,PETR4
2012-12-26,8.39,8.45,8.2,8.2,19420,1,22662100,PETR4
2012-12-27,8.2,8.24,7.91,7.93,33269,1,28777800,PETR4
2012-12-28,7.97,8.02,7.89,7.98,24345,1,27975700,PETR4
