time,open,high,low,close,tick_volume,spread,real_volume,ticker
2017-11-30,4019.781,4076.641,4012.982,4056.864,49736,1,470310,DOL$
2017-12-01,4064.28,4072.315,4027.198,4038.94,41241,1,356980,DOL$
2017-12-04,4040.177,4043.267,4017.309,4020.399,25874,1,240655,DOL$
2017-12-05,4021.635,4022.871,3990.733,4016.691,34507,1,333520,DOL$
2017-12-06,4021.017,4025.961,3996.913,4009.274,28863,1,272735,DOL$
2017-12-07,4025.343,4111.87,4023.489,4077.259,49089,1,462025,DOL$
2017-12-08,4058.718,4101.981,4045.739,4077.877,37203,1,336635,DOL$
2017-12-11,4071.697,4095.183,4053.774,4093.329,23297,1,209325,DOL$
2017-12-12,4089.002,4128.557,4084.058,4094.565,33295,1,363525,DOL$
2017-12-13,4076.641,4125.467,4070.461,4097.655,44144,1,457335,DOL$
2017-12-14,4110.016,4142.772,4097.655,4136.592,37728,1,352880,DOL$
2017-12-15,4129.175,4130.411,4077.259,4077.259,30894,1,321670,DOL$
2017-12-18,4081.586,4084.676,4056.864,4073.551,27406,1,301180,DOL$
2017-12-19,4080.968,4092.093,4061.808,4070.461,27981,1,316330,DOL$
2017-12-20,4066.753,4081.586,4058.718,4079.114,24388,1,265645,DOL$
2017-12-21,4072.933,4102.599,4071.079,4092.093,32278,1,353970,DOL$
2017-12-22,4087.766,4128.557,4084.676,4124.849,25419,1,312815,DOL$
2017-12-26,4115.578,4119.287,4087.148,4092.093,16203,1,191850,DOL$
2017-12-27,4085.294,4106.308,4071.697,4097.655,20416,1,232560,DOL$
2017-12-28,4084.74,4103.805,4068.136,4095.81,22952,1,265425,DOL$
2018-01-02,4068.136,4068.751,4020.167,4023.242,27200,1,321885,DOL$
2018-01-03,4010.942,4031.236,3990.032,3994.952,31323,1,325345,DOL$
2018-01-04,3990.032,4002.332,3976.503,3992.492,27259,1,286155,DOL$
2018-01-05,3993.107,4009.097,3980.808,3984.497,29902,1,274765,DOL$
2018-01-08,3986.342,4003.562,3978.348,3998.642,25387,1,244410,DOL$
2018-01-09,3999.872,4016.477,3984.497,4007.252,33835,1,303760,DOL$
2018-01-10,4013.402,4016.477,3980.193,3982.037,32794,1,329775,DOL$
2018-01-11,3986.957,3991.877,3960.513,3964.818,30595,1,321660,DOL$
2018-01-12,3969.123,3980.808,3943.908,3952.518,37079,1,351350,DOL$
2018-01-15,3941.448,3966.663,3934.684,3964.818,18418,1,180575,DOL$
2018-01-16,3962.973,3990.032,3959.283,3974.043,34878,1,308815,DOL$
2018-01-17,3980.193,3991.262,3958.668,3972.813,29288,1,307440,DOL$
2018-01-18,3967.278,3974.043,3945.753,3951.288,34399,1,352205,DOL$
2018-01-19,3951.903,3959.898,3935.914,3938.373,26495,1,265160,DOL$
2018-01-22,3934.684,3955.593,3921.769,3944.523,30462,1,296610,DOL$
2018-01-23,3954.363,3994.952,3951.903,3986.342,39206,1,388245,DOL$
2018-01-24,3969.738,3978.963,3859.655,3874.415,52267,1,503755,DOL$
2018-01-26,3855.965,3884.255,3841.206,3879.95,49205,1,499980,DOL$
2018-01-29,3888.56,3903.319,3881.795,3882.41,36889,1,337095,DOL$
2018-01-30,3880.565,3930.994,3873.185,3913.774,39034,1,431675,DOL$
2018-01-31,3892.327,3927.868,3867.203,3916.225,53474,1,557520,DOL$
2018-02-01,3926.029,3929.706,3886.812,3892.94,38349,1,353490,DOL$
2018-02-02,3920.514,3962.183,3912.548,3955.442,42641,1,392180,DOL$
2018-02-05,3952.379,4023.46,3949.928,4009.366,43919,1,411440,DOL$
2018-02-06,4003.851,4028.362,3971.987,3975.051,65066,1,593955,DOL$
2018-02-07,3994.047,4034.49,3978.115,4019.171,48443,1,435695,DOL$
